问题,提取的实体
《地方国有资产监管工作指导监督办法》的发布时间是什么？,"[""'地方国有资产监管工作指导监督办法'""]"
《建筑工程施工发包与承包计价管理办法》的发布时间是什么？,"[""'《建筑工程施工发包与承包计价管理办法》"", ""发布时间'""]"
《工业和信息化部、国家统计局、国家发展和改革委员会、财政部关于印发中小企业划型标准规定的通知》的发布时间是什么？,['工业和信息化部，国家统计局，国家发展和改革委员会，财政部']
《拍卖监督管理办法》的发布时间是什么？,"[""'《拍卖监督管理办法》'""]"
《财政部关于印发《政府采购评审专家管理办法》的通知》的发布时间是什么？,['财政部，《政府采购评审专家管理办法》']
《上海市规划和国土资源管理局关于印发《关于落实＜关于深化城市有机更新促进历史风貌保护工作的若干意见＞的规划土地管理实施细则》的通知》的发布时间是什么？,['上海市，规划和国土资源管理局，通知']
《上海市土地交易市场监督管理办法》的发布时间是什么？,['上海市土地交易市场监督管理办法']
《上海市规划和自然资源局关于国有建设用地使用权招标拍卖挂牌出让投标竞买保证金专户管理有关问题的通知》的发布时间是什么？,['上海市规划和自然资源局，上海市']
《评标委员会和评标方法暂行规定》的发布时间是什么？,"[""'《评标委员会和评标方法暂行规定》'""]"
《评标专家和评标专家库管理暂行办法》的发布时间是什么？,"[""'《评标专家和评标专家库管理暂行办法》，发布时间'""]"
《拍卖术语》的发布时间是什么？,"[""'《拍卖术语》，发布时间'""]"
《行政单位国有资产管理暂行办法》的发布时间是什么？,"[""'《行政单位国有资产管理暂行办法》，发布时间'""]"
《最高人民法院关于审理涉及农村土地承包经营纠纷调解仲裁案件适用法律若干问题的解释》的发布时间是什么？,"['最高人民法院', '农村土地承包']"
《最高人民法院关于审理涉及农村集体土地行政案件若干问题的规定》的发布时间是什么？,"['最高人民法院', '农村集体土地行政案件']"
《艺术品经营管理办法》的发布时间是什么？,"[""'《艺术品经营管理办法》'""]"
《商业银行股权管理暂行办法》的发布时间是什么？,"[""'《商业银行股权管理暂行办法》"", '发布时间']"
《企业国有资产监督管理暂行条例》的发布时间是什么？,['条例']
《区域性股权市场监督管理试行办法》的发布时间是什么？,"[""'《区域性股权市场监督管理试行办法》'""]"
《企业国有资产交易监督管理办法》的发布时间是什么？,"[""'《企业国有资产交易监督管理办法》，发布时间'""]"
《上海市财政局关于印发《上海市创新产品政府首购和订购实施办法》的通知(2017)》的发布时间是什么？,['上海市']
《上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知》的发布时间是什么？,['上海市']
《上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017)》的发布时间是什么？,"['上海市财政局', '上海市政府采购供应商登记及诚信管理办法', '2017']"
《企业国有资产评估管理暂行办法》的发布时间是什么？,"[""'《企业国有资产评估管理暂行办法》，发布时间'""]"
《上海市财政局关于2020年度第一批创新产品政府首购有关事项的通知》的发布时间是什么？,"['上海市财政局', '2020年']"
《上海市财政局关于2019年度创新产品政府首购有关事项的通知》的发布时间是什么？,"['上海市财政局', '2019年']"
《上海市财政局关于印发《上海市政府采购集中采购机构监督考核管理办法》的通知》的发布时间是什么？,"['上海市财政局', '上海市政府采购集中采购机构监督考核管理办法']"
《上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)》的发布时间是什么？,"['上海市财政局', '上海市政府采购评审专家和评审工作管理办法', '2018']"
《上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)》的发布时间是什么？,"['上海市财政局', '上海市政府采购协议采购网上供货管理办法', '2017']"
《上海市公共资源交易平台管理暂行办法》的发布时间是什么？,['上海市']
《上海市城乡建设和交通委员会关于印发《关于加强本市大型居住社区工程建设服务和管理工作的若干意见》的通知》的发布时间是什么？,['上海市，《关于加强本市大型居住社区工程建设服务和管理工作的若干意见》']
《上海市城乡建设和管理委员会关于印发《上海市建筑施工企业施工现场项目管理机构关键岗位人员配备指南》的通知》的发布时间是什么？,['上海市，《上海市建筑施工企业施工现场项目管理机构关键岗位人员配备指南》，上海市城乡建设和管理委员会，《上海市建筑施工企业施工现场项目管理机构关键岗位人员配备指南》的通知']
上海市浦东新区南汇新城镇社区卫生服务中心保安服务的中标金额是多少？,['上海市浦东新区南汇新城镇社区卫生服务中心，中标金额']
"""电子招标投标办法""的发布时间是什么？","[""'电子招标投标办法'""]"
“工程建设项目货物招标投标办法”的信息来源是什么？,"[""'工程建设项目货物招标投标办法'""]"
2020年11月发布了多少个政策文件？,"[""'政策文件'""]"
“财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知”是什么时候发布的？,"['财政部', '《政府采购竞争性磋商采购方式管理暂行办法》']"
“金融企业国有资产转让管理办法”的信息来源是什么？,"[""'金融企业国有资产转让管理办法'""]"
2020年12月有哪些文件是由国家发布的？,['国家']
“民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知”的发布时间是什么时候？,"[""'民航局机场司"", ""《民航专业工程建设项目招标投标管理办法》'""]"
“房屋建筑和市政基础设施工程施工招标投标管理办法”的信息来源是哪里？,"[""'房屋建筑和市政基础设施工程施工招标投标管理办法'""]"
2020年国家发布了多少个关于政府采购的办法？,['国家，办法']
“上海市规划和国土资源管理局关于印发《关于落实＜关于深化城市有机更新促进历史风貌保护工作的若干意见＞的规划土地管理实施细则》的通知”是由哪个信息来源发布的？,['上海市规划和国土资源管理局']
2020年12月22日发布了多少个政策文件？,['政策文件，日期']
“评标委员会和评标方法暂行规定”的发布时间是什么？,"[""'评标委员会和评标方法暂行规定'""]"
“评标专家和评标专家库管理暂行办法”的信息来源是什么？,"[""'评标专家，评标专家库管理暂行办法'""]"
2020年11月18日有哪些文件被发布？,"['文件', '发布', '2020年11月18日']"
“最高人民法院关于审理涉及农村土地承包经营纠纷调解仲裁案件适用法律若干问题的解释”的发布时间是什么时候？,"['最高人民法院', '关于', '审理', '涉及', '农村土地承包经营纠纷调解仲裁案件适用法律若干问题的解释', '发布时间']"
“艺术品经营管理办法”的信息来源是哪里？,"[""'艺术品经营管理办法'""]"
2020年12月10日发布了多少个文件？,"[""'文件'""]"
“商业银行股权管理暂行办法”的发布时间是什么？,"[""'商业银行股权管理暂行办法'""]"
“企业国有资产监督管理暂行条例”的信息来源是什么？,"[""'企业国有资产监督管理暂行条例'""]"
2020年11月有哪些文件是由上海市发布的？,['上海市，2020年11月']
“工程建设项目施工招标投标办法”是何时发布的？,"[""'工程建设项目施工招标投标办法'""]"
“财政部关于印发《政务信息系统政府采购管理暂行办法》的通知”的信息来源是哪里？,"[""'财政部，政务信息系统政府采购管理暂行办法，通知'""]"
2020年11月18日国家发布了哪些政策文件？,['国家，政策文件']
“拍卖管理办法”的发布时间是什么？,"[""'拍卖管理办法'""]"
“机动车拍卖规程”的信息来源是什么？,"[""''""]"
2020年12月22日国家发布了多少个政策文件？,['国家']
“建筑工程设计招标投标管理办法”的发布时间是什么时候？,"[""'建筑工程设计招标投标管理办法'""]"
“财政部关于印发《政府采购进口产品管理办法》的通知”的信息来源是哪里？,['财政部，通知']
2020年3月11日发布了哪些文件？,['文件，日期']
“财政部关于政府采购竞争性磋商采购方式管理暂行办法有关问题的补充通知”的发布时间是什么？,"['财政部', '关于', '政府采购竞争性磋商采购方式管理暂行办法', '有关问题的补充通知', '发布时间']"
“港口工程建设管理规定”的信息来源是什么？,"[""'港口工程建设管理规定'""]"
2020年12月10日上海市发布了哪些政策文件？,['上海市，政策文件']
“财政部关于做好政府采购信息公开工作的通知”的发布时间是什么时候？,['财政部，通知']
“拍卖监督管理办法”的信息来源是哪里？,"[""'拍卖监督管理办法'""]"
2020年12月22日上海市发布了多少个政策文件？,['上海市，政策文件']
“评标专家和评标专家库管理暂行办法”的发布时间是什么？,['评标专家，评标专家库管理暂行办法，发布时间']
“行政单位国有资产管理暂行办法”的信息来源是什么？,"[""'行政单位国有资产管理暂行办法'""]"
2020年12月10日国家发布了多少个政策文件？,['国家']
“最高人民法院关于审理涉及农村集体土地行政案件若干问题的规定”的发布时间是什么时候？,"['最高人民法院', '关于审理涉及农村集体土地行政案件若干问题的规定', '发布时间']"
“艺术品经营管理办法”的信息来源是哪里？,"[""'艺术品经营管理办法'""]"
2020年11月18日有哪些文件是由上海市发布的？,['上海市，11月18日']
“商业银行股权管理暂行办法”的发布时间是什么？,"[""'商业银行股权管理暂行办法'""]"
“企业国有资产监督管理暂行条例”的信息来源是什么？,"[""'企业国有资产监督管理暂行条例'""]"
2020年12月22日有哪些文件是由国家发布的？,['国家，文件']
“区域性股权市场监督管理试行办法”的发布时间是什么时候？,"[""'区域性股权市场监督管理试行办法'""]"
“企业国有资产交易监督管理办法”的信息来源是哪里？,"[""'企业国有资产交易监督管理办法'""]"
2020年11月17日国家发布了哪些政策文件？,['国家，政策文件']
“上海市创新产品政府首购和订购实施办法”的发布时间是什么？,"['上海市', '创新产品政府首购和订购实施办法', '发布时间']"
“上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知”的信息来源是哪里？,['上海市']
2020年12月22日有哪些文件是由上海市发布的？,['上海市，2020年12月22日']
上海硕业物业管理有限公司的地址在哪里？,['上海，硕业物业管理有限公司，地址']
上海市浦东新区南汇新城镇社区卫生服务中心的联系电话是什么？,"['上海市浦东新区南汇新城镇社区卫生服务中心', '联系电话']"
西院肝病楼开办费-标识的中标金额是多少？,"['西院', '肝病楼', '开办费', '中标金额']"
上海白衣标识有限公司的地址是什么？,['上海，白衣标识有限公司，地址']
上海中医药大学附属曙光医院的联系电话是什么？,['上海中医药大学附属曙光医院，联系电话']
病媒防制工作委托管理的中标金额是多少？,"[""'病媒防制工作，中标金额'""]"
上海闽泰环境卫生服务有限公司的地址在哪里？,['上海闽泰环境卫生服务有限公司']
徐汇区大华医院保洁配送管理外包服务政府采购项目的标的名称中，中标供应商名称有哪些？,['徐汇区大华医院，保洁配送管理外包服务政府采购项目，标的名称，中标供应商名称']
上海电机学院的中标供应商名称中，标的名称有哪些？,['上海电机学院，中标供应商名称，标的名称']
上海市嘉定区中心医院的采购人名称中，中标供应商名称有哪些？,"['上海市嘉定区中心医院', '中标供应商名称']"
上海市东方医院的标的名称中，采购人名称有哪些？,['上海市东方医院']
上海市卫生健康委员会监督所食堂管理项目的中标供应商名称中，标的名称有哪些？,['上海市卫生健康委员会监督所']
上海市浦东新区金杨社区卫生服务中心物业管理服务的采购人名称中，标的名称有哪些？,['上海市浦东新区金杨社区卫生服务中心']
上海霖置实业有限公司的采购人名称中，中标供应商名称有哪些？,"['上海霖置实业有限公司', '中标供应商名称']"
上海市青浦区朱家角人民医院的采购人名称中，标的名称有哪些？,"['上海市青浦区朱家角人民医院', '采购人名称', '标的名称']"
上海济博贸易商行的中标供应商名称中，采购人名称有哪些？,['上海济博贸易商行，中标供应商名称，采购人名称']
新华人寿保险股份有限公司上海分公司的采购人名称中，标的名称有哪些？,['新华人寿保险股份有限公司上海分公司']
上海市市级残疾人自助互助康复服务的采购人名称中，标的名称有哪些？,['上海市']
"市级医院肿瘤综合诊治COC（一期）大系统建设项目, 上海市级医院临床专科能力促进子系统建设项目的中标供应商名称中，采购人名称有哪些？",['上海']
上海爱姆森医疗科技发展有限公司的中标供应商名称中，标的名称有哪些？,['上海爱姆森医疗科技发展有限公司，中标供应商名称']
上海建科检验有限公司的采购人名称中，标的名称有哪些？,"['上海建科检验有限公司', '采购人名称', '标的名称']"
上海市青浦区赵巷镇社区卫生服务中心的采购人名称中，中标供应商名称有哪些？,"['上海市青浦区赵巷镇社区卫生服务中心', '中标供应商名称']"
上海申卓国际贸易有限公司的采购人名称中，中标供应商名称有哪些？,['上海申卓国际贸易有限公司，采购人名称，中标供应商名称']
超声诊断仪的中标供应商名称中，采购人名称有哪些？,['采购人名称']
复盛建设工程（上海）有限公司的标的名称中，采购人名称有哪些？,['采购人名称']
65周岁以上老年人健康体检的采购人名称中，中标供应商名称有哪些？,['中标供应商名称']
"重症医学病房-CT, 重症医学病房-超声诊断仪的标的名称中，采购人名称有哪些？",['采购人名称']
合伙人能否将其在合伙企业中的财产份额进行出质？需要哪些程序？,['合伙企业，财产']
交易所在哪些情况下会被市发展改革部门处以罚款？,['市发展改革部门']
农民在农业生产中使用了国家明令淘汰的农药，会受到什么处罚？,"['农民', '国家明令淘汰的农药', '处罚']"
如何确保政府采购信息的公开透明？,['公开透明']
有意受让土地使用权者需要从出让人处获取哪些资料？,['土地使用权，出让人']
在拍卖活动中，如果某方当事人违反了公开、公平、公正、诚实信用的原则，会有什么后果？,"['公开', '公平', '公正', '诚实信用']"
在本市社会投资的房屋建筑工程中，建设单位是否还需要提供银行资金到位证明和预付款证明？,['本市，社会投资，房屋建筑工程']
采购人在与供应商交往过程中有哪些禁止行为？,"['采购人', '供应商']"
采购人能否与政务信息系统运行维护供应商签订超过三年的政府采购合同？,"['采购人', '政务信息系统运行维护供应商', '政府采购合同']"
对于上海市公共资源交易目录外的新增交易活动，应如何处理交易平台问题？,['上海市，公共资源交易目录，交易平台']
在国有企业改革中，如何确保党组织的法定地位和发挥其政治核心作用？,['党组织，国有企业改革，法定地位，政治核心作用']
委托拍卖合同签订时，委托人如何交付拍卖标的？,"['委托人', '拍卖标的']"
招投标监管部门在信用标管理方面有哪些具体职责？,"['监管部门', '信用标管理']"
如果在招投标过程中遇到合同纠纷，是否可以直接引用《中华人民共和国民法典》进行维权？,['民法典']
交易主体在进行招投标活动前，必须通过哪些方式进行身份认证？,['交易主体，身份认证']
采购人在进行政府采购时，是否可以按照个人意愿选择供应商？,"['采购人', '政府采购', '供应商']"
对于不属于工程建设项目但属于固定资产投资的货物招标投标活动，应如何执行相关规定？,['固定资产投资，货物']
招标人在设定投标人资格要求时，哪些行为会被视为以不合理条件限制或排斥潜在投标人？,['潜在投标人']
招标人或其委托的招标代理机构在发布资格预审公告、招标公告或投标邀请书时，需要包含哪些信息？,['招标人，招标代理机构，资格预审公告，招标公告，投标邀请书']
联交所能否为非公开协议租赁的双方提供登记和资金结算服务？,['交易所']
在承包期内，发包方是否有权调整承包地？,['承包期，发包方，有权，调整，承包地']
如何判断采购文件是否存在限制性和倾向性？,['采购文件，限制性，倾向性']
财政部门如何实现对事业单位国有资产的动态管理？,"['财政部门', '事业单位']"
哪些企业属于国家出资企业的范畴？,['国家，企业']
第三方机构在碳排放核查过程中，如果出具了虚假的核查报告，会受到怎样的处罚？,"['第三方机构', '碳排放核查', '虚假的核查报告', '处罚']"
集体经济组织在参与镇村规划编制和村民住宅用地管理时，需要履行哪些职责？,['集体经济组织，镇村规划编制，村民住宅用地管理']
保险公司变更注册资本时，需要提交哪些关键材料？,"['保险公司', '注册资本', '材料']"
历史文化名城的环境遭到严重破坏，会有什么后果？,['历史文化名城，环境']
第三方机构在碳排放核查中违规，会受到哪些处罚？,['第三方机构，处罚']
如果国有金融企业未完成公司制改革，其子公司的增资行为需要报备吗？,"['国有金融企业', '子公司']"
如果企业在过渡期内不符合相关政策要求，应该如何处理？,['过渡期，政策']
闲置土地的动工开发时间如何重新起算？,['土地，动工，开发，时间']
投标保证金的到账截止时间应如何设定？,['到账']
如果企业在“195区域”内擅自分割转让土地使用权，会有什么后果？,['区域，企业']
投标人能否使用银行保函代替现金提交投标保证金？,"['银行', '保函', '现金', '投标保证金']"
如何确定政府采购的资金节约率？,['资金']
农村土地承包经营权证的发放管理由哪个部门负责？,['农业农村部门']
事业单位的国有资产评估项目需要经过哪些审批程序？,"['事业单位', '国有资产评估项目', '审批程序']"
在招投标过程中，如果发现营商环境方面的问题，可以通过哪些途径进行投诉举报？,['营商环境，投诉']
产权转让项目首次正式信息披露的转让底价有何要求？,"['产权转让项目', '转让底价']"
综合类会员和自营类会员在结算部门的职责上有何区别？,['结算部门']
国有资产监管机构在履行出资人职责时，应如何界定监管边界？,['国有资产监管机构，出资人']
如果对本规范的内容有疑问，应该向哪个部门咨询？,['部门']
在招投标过程中，如何快速办理简易公证事项和查询公证信息？,"['公证事项', '公证信息']"
国有资产监督管理机构的具体职责包括哪些方面？,['国有资产监督管理机构，具体职责']
市发展改革部门和行业主管部门在公共资源交易中具体负责哪些方面的数据质量评价？,"['市发展改革部门', '行业主管部门']"
挂牌出让国有土地使用权的过程中，如何确定最终的土地使用者？,['国有土地使用权，土地使用者']
拍卖企业在举办拍卖活动时，公告发布的时间和媒体选择有哪些具体要求？,"['拍卖企业', '公告发布的时间', '媒体']"
在推广托管服务模式时，如何确保农户的承包关系不被改变？,['农户，承包关系']
建设管理部门在记录从业单位的不良信用信息后，需要多久将其记入市建管平台？,"['管理部门', '信用信息', '市建管平台']"
在拍卖过程中，如果我出价后反悔了，可以撤回我的出价吗？,['出价，反悔，撤回']
中标后，招标人和中标人是否可以签订与原投标文件内容不一致的合同？,"['招标人', '中标人']"
询价采购中，供应商提交响应文件的截止时间最少需要提前多少天通知？,"['采购', '供应商', '截止时间']"
如果出让合同约定由受让人拆除原有建筑物，受让人支付出让金后可以获得什么证明？,"['出让合同', '受让人', '原有建筑物', '出让金', '证明']"
评标专家入选专家库有哪些途径？,['专家，途径']
借碳期限届满后，如果借入方未偿还所借入的配额，交易所将如何处理？,['交易所']
财政部门在事业单位国有资产管理中的具体职责包括哪些？,"['财政部门', '事业单位', '国有资产管理']"
在哪些情况下，交易所会发出风险警示公告？,"['交易所', '风险警示公告']"
哪些情况下可以开展预选招标？,['预选招标']
施工招标中，如果设有标底，评标标底的具体确定方法有哪些？,['标底，具体确定方法']
境外国有产权转让的价款支付方式有何规定？,['境外，国有产权，转让，价款，支付方式，规定']
新型农业经营主体在建设配套辅助设施时能享受哪些政策优惠？,"['新型农业经营主体', '政策优惠']"
在处理多地块平衡、组合出让的历史风貌保护项目时，需要特别注意哪些方面？,['地块，历史']
招标人和中标人在中标通知书发出后，应在多长时间内签订书面合同？,"['招标人', '中标人', '中标通知书', '书面合同']"
在未中标或未竞得前，投标、竞买外汇保证金的所有权归属如何？,['外汇保证金']
上海市的公共资源拍卖活动是否必须通过公共资源拍卖平台进行？,"['上海市', '公共资源拍卖活动', '公共资源拍卖平台']"
银监会在调查商业银行股东涉嫌违法事项时，是否有权查阅和复制相关财务会计文件？,"['银监会', '商业银行', '股东', '财务会计文件']"
招标人申请自行办理招标事宜时需要提交哪些书面材料？,['招标人，自行，办理，招标']
供销合作社在综合改革试点中应如何改造自我以更好地服务农民？,"['合作社', '农民']"
综合类会员在交易中是否可以向客户收取佣金？,"['会员', '佣金']"
在施工招标中，参加开标的投标人代表有哪些具体要求？,['投标人，代表']
采购人在哪些情况下会被责令限期改正并可能面临罚款？,"['采购人', '责令限期改正', '罚款']"
提交产权交易中止申请时，需要提供哪些材料？,"['产权交易', '中止申请', '材料']"
单位违反配额管理规定，除了罚款外，还会受到哪些行政处理措施？,['单位，配额管理']
民防工程部分的建设用地使用权基本价格如何确定？,['建设用地使用权，基本价格，民防工程']
地区铁路监督管理局如何开展铁路建设工程招标投标的监督检查工作？,"['地区铁路监督管理局', '铁路建设工程招标投标']"
招标文件中的技术规格是否必须符合国家技术法规？,['国家技术法规']
评估结果为不佳的发起方在市交易中心会被如何标注？,['交易中心']
房地产权属登记管理的具体要求和流程是怎样的？,['房地产权属登记管理，具体要求，流程']
如果采购任务因重大变故取消，采购人需要做哪些工作？,"['采购人', '重大变故']"
国有企业经理层成员如何实现任期制和契约化管理？,['国有企业，经理层成员，任期制，契约化管理']
评审专家在哪些情况下会被取消专家资格？,['专家']
招标文件的澄清和修改是否需要依法进行？,['文件，澄清，修改，依法']
本市各级财政部门在政府采购创新产品政策执行中需要承担哪些职责？,['财政部门，政策']
增资人在发布增资公告时，需要承担哪些责任？,['增资人，责任']
如果申请人未按规定交纳保证金，其申请会被视为无效吗？,['保证金']
采购人和采购代理机构在提供材料时需要承担哪些责任？,['采购人，采购代理机构']
港口工程项目有尾留工程时，项目单位应如何处理？,"['港口工程项目', '项目单位']"
房地产买卖合同中需要包含哪些主要内容？,"['房地产', '买卖', '合同']"
财政部门在处理投诉事项时，主要采用什么方式？在什么情况下会进行调查取证或组织质证？,"['财政部门', '投诉事项', '调查取证', '质证']"
在技术复杂、专业性强的采购项目中，如何选择合适的评审专家？,['采购项目，评审专家']
民航地区管理局收到招标方案备案材料后，多久内会给出审核结果？,"['民航地区管理局', '招标方案']"
上海市拍卖行业公共平台计划在哪些领域率先应用网络同步拍卖？,['上海市，拍卖行业，公共平台']
施工单位未向施工现场管理人员和作业人员进行方案交底和安全技术交底，会受到哪些处罚？,"['施工单位', '施工现场管理人员', '作业人员', '方案交底', '安全技术交底', '处罚']"
成套改造风貌保护更新项目是否可以新增用地？,['风貌，保护，更新']
商业银行股东通过不正当手段获得5%以上股份的批准，会有什么后果？,"['商业银行', '股东', '股份']"
哪些法律法规对提高政府采购透明度提出了要求？,['法律法规']
会员无法履约时，交易所可以采取哪些措施？,['交易所']
供应商提交登记申请后，多久能知道是否入库？,['供应商，入库']
大型居住社区的安全质量监督申报手续如何办理？,['社区，质量']
发起方的信用记分达到多少分会被评估为优秀？,"['信用记分', '优秀']"
竣工验收现场核查组的成员人数和专家比例有何规定？,['竣工验收，现场核查组，成员人数，专家比例']
国家铁路局在铁路建设工程招标投标监督管理中的具体职责是什么？,['国家铁路局，铁路建设工程，招标投标监督管理']
公共资源拍卖平台如何加强对拍卖活动的规范引导？,['公共资源拍卖平台，规范']
招标文件中哪些要求和条件属于实质性要求，必须以醒目的方式标明？,"['招标文件', '实质性要求', '条件']"
如果单位在第三方机构核查时提供虚假资料，会受到什么处罚？,['第三方机构，单位']
电子认证服务提供者如果不遵守认证业务规则会有什么后果？,['电子认证服务提供者，认证业务规则，后果']
在审查电子投标文件作为证据的真实性时，需要考虑哪些因素？,['证据']
在房地产项目中，如果国家为了公共利益需要征收个人住宅，被征收人可以获得哪些补偿和保障？,"['国家', '公共利益', '个人住宅', '被征收人', '补偿', '保障']"
保险公司筹备组在开立验资账户时需要遵循哪些规定？,"['保险公司筹备组', '验资账户']"
企业违反碳排放配额管理规定，除了罚款外，还可能面临哪些行政处理措施？,['企业，碳排放配额管理，罚款，行政处理措施']
在土地使用权出让意向书中，公示期间如果有异议且经审查发现违反法律法规行为，会如何处理？,"['土地使用权出让意向书', '公示期间', '异议', '违反法律法规']"
在招标拍卖挂牌出让公告中，出让人可以设置哪些限制条件？,['出让人']
拟聘评审专家需要接受哪些培训？,['培训']
财政部门在政府采购项目绩效评价方面有哪些职责？,"['财政部门', '政府采购项目', '绩效评价']"
本市公共资源交易平台管理办法的修订主要包括哪些内容？,['本市，平台，管理办法']
