问题,意图分类,标签真值,提取的实体
电子内窥镜主机系统（含一根电子治疗结肠镜）的供应商省份是哪里？,商品数据,商品数据,"['电子内窥镜主机系统', ' 包含', ' 电子治疗结肠镜', ' 供应商省份']"
低强度脉冲式超声波治疗仪的供应商城市有哪些？,商品数据,商品数据,"['低强度脉冲式超声波治疗仪', ' 供应商', ' 城市', ' 有哪些']"
学生智能体质体检健康测试设备的供应商地址是什么？,日常问题,商品数据,['学生，智能体质体检健康测试设备，供应商，地址']
医院X射线计算机体层摄影设备的供应商省份有哪些？,商品数据,商品数据,"['医院', 'X射线', '计算机体层摄影设备', '供应商', '省份']"
医院远程探视和远程会诊系统的供应商地址在哪里？,日常问题,商品数据,"['医院', ' 远程探视', ' 远程会诊系统', ' 供应商', ' 地址']"
无轨迹等张肌力测试康复训练系统的供应商品牌有哪些？,商品数据,商品数据,['品牌']
无轨迹等张肌力测试康复训练系统的价格范围是多少？,日常问题,商品数据,"['价格范围', ' 等张肌力测试康复训练系统']"
无轨迹等张肌力测试康复训练系统的供应商地址在哪里？,日常问题,商品数据,['供应商地址']
医院X射线计算机体层摄影设备的品牌有哪些？,商品数据,商品数据,"['医院', 'X射线计算机体层摄影设备', '品牌', '有']"
医院X射线计算机体层摄影设备的型号有哪些？,商品数据,商品数据,"['医院', 'X射线', '计算机体层摄影设备', '型号']"
气相色谱分析仪的品牌有哪些？,商品数据,商品数据,"['品牌', '气相色谱分析仪']"
医院X射线计算机体层摄影设备的供应商省份有哪些？,商品数据,商品数据,"['医院', 'X射线计算机体层摄影设备', '供应商省份', '省']"
太平洋安信农业保险股份有限公司上海分公司中标了哪些保险项目？,招标中标信息,政策文件信息,"['太平洋安信农业保险股份有限公司上海分公司', ' 中标', ' 保险项目']"
上海市青浦区朱家角人民医院是否承担了残疾人健康体检项目？,日常问题,政策文件信息,['上海市青浦区朱家角人民医院  ']
《电子招标投标办法》的发布时间是什么？,政策文件信息,政策文件信息,"['电子招标投标办法', ' 时间', ' 发布时间']"
《工程建设项目货物招标投标办法》的发布时间是什么？,政策文件信息,政策文件信息,['《工程建设项目货物招标投标办法》，发布时间']
《工程建设项目施工招标投标办法》的发布时间是什么？,政策文件信息,政策文件信息,['《工程建设项目施工招标投标办法》，发布时间']
《财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知》的发布时间是什么？,政策文件信息,政策文件信息,['《政府采购竞争性磋商采购方式管理暂行办法》，《财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知》']
《金融企业国有资产转让管理办法》的发布时间是什么？,政策文件信息,政策文件信息,['《金融企业国有资产转让管理办法》']
《财政部关于印发《政务信息系统政府采购管理暂行办法》的通知》的发布时间是什么？,政策文件信息,政策文件信息,['无']
《民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知》的发布时间是什么？,政策文件信息,政策文件信息,['民航局机场司，《民航专业工程建设项目招标投标管理办法》，发布日期']
《财政部关于印发《中央行政事业单位国有资产配置管理办法》的通知》的发布时间是什么？,政策文件信息,政策文件信息,['《财政部》，《中央行政事业单位国有资产配置管理办法》']
《房屋建筑和市政基础设施工程施工招标投标管理办法》的发布时间是什么？,政策内容,政策文件信息,['《房屋建筑和市政基础设施工程施工招标投标管理办法》，发布时间']
《财政部关于政府采购竞争性磋商采购方式管理暂行办法有关问题的补充通知》的发布时间是什么？,政策文件信息，日常问题,政策文件信息,['政策文件信息，日常问题']
《财政部关于在政府采购活动中查询及使用信用记录有关问题的通知》的发布时间是什么？,政策文件信息,政策文件信息,['《财政部关于在政府采购活动中查询及使用信用记录有关问题的通知》，发布时间']
《港口工程建设管理规定》的发布时间是什么？,政策文件信息,政策文件信息,['《港口工程建设管理规定》，发布时间']
《财政部关于做好政府采购信息公开工作的通知》的来源是什么？,政策文件信息,政策文件信息,"['《财政部关于做好政府采购信息公开工作的通知》', ' 财政部']"
《拍卖管理办法》的发布时间是什么？,政策文件信息,政策文件信息,['《拍卖管理办法》，发布时间']
《机动车拍卖规程》的发布时间是什么？,政策文件信息,政策文件信息,['《机动车拍卖规程》，发布时间']
《建筑工程设计招标投标管理办法》的发布时间是什么？,政策文件信息,政策文件信息,['《建筑工程设计招标投标管理办法》']
《财政部关于印发《政府采购进口产品管理办法》的通知》的发布时间是什么？,政策文件信息,政策文件信息,['无']
《工程建设项目招标投标活动投诉处理办法》的发布时间是什么？,政策文件信息,政策文件信息,['《工程建设项目招标投标活动投诉处理办法》，发布时间']
《财政部关于印发《金融企业非上市国有产权交易规则》的通知》的发布时间是什么？,政策文件信息,政策文件信息,['通知发布时间']
《地方国有资产监管工作指导监督办法》的发布时间是什么？,政策文件信息,政策文件信息,['地方国有资产监管工作指导监督办法，《地方国有资产监管工作指导监督办法》，发布时间']
《建筑工程施工发包与承包计价管理办法》的发布时间是什么？,政策文件信息,政策文件信息,['无']
《工业和信息化部、国家统计局、国家发展和改革委员会、财政部关于印发中小企业划型标准规定的通知》的发布时间是什么？,政策文件信息,政策文件信息,['通知发布时间']
《拍卖监督管理办法》的发布时间是什么？,政策文件信息,政策文件信息,['无']
《财政部关于印发《政府采购评审专家管理办法》的通知》的发布时间是什么？,政策文件信息,政策文件信息,"['《政府采购评审专家管理办法》', ' 财政部']"
《上海市规划和国土资源管理局关于印发《关于落实＜关于深化城市有机更新促进历史风貌保护工作的若干意见＞的规划土地管理实施细则》的通知》的发布时间是什么？,政策文件信息,政策文件信息,['《上海市规划和国土资源管理局关于印发《关于落实＜关于深化城市有机更新促进历史风貌保护工作的若干意见＞的规划土地管理实施细则》的通知》，发布时间']
《上海市土地交易市场监督管理办法》的发布时间是什么？,政策文件信息,政策文件信息,['上海市土地交易市场监督管理办法，《上海市土地交易市场监督管理办法》']
《上海市规划和自然资源局关于国有建设用地使用权招标拍卖挂牌出让投标竞买保证金专户管理有关问题的通知》的发布时间是什么？,政策文件信息,政策文件信息,['上海市规划和自然资源局，《上海市规划和自然资源局关于国有建设用地使用权招标拍卖挂牌出让投标竞买保证金专户管理有关问题的通知》']
《评标委员会和评标方法暂行规定》的发布时间是什么？,政策文件信息,政策文件信息,"['《评标委员会和评标方法暂行规定》', ' 发布时间']"
《评标专家和评标专家库管理暂行办法》的发布时间是什么？,政策文件信息,政策文件信息,['《评标专家和评标专家库管理暂行办法》，发布时间']
《拍卖术语》的发布时间是什么？,日常问题,政策文件信息,['《拍卖术语》，发布时间']
《行政单位国有资产管理暂行办法》的发布时间是什么？,政策文件信息,政策文件信息,['《行政单位国有资产管理暂行办法》，发布时间']
《最高人民法院关于审理涉及农村土地承包经营纠纷调解仲裁案件适用法律若干问题的解释》的发布时间是什么？,政策文件信息,政策文件信息,"['最高人民法院', ' 最高人民法院关于审理涉及农村土地承包经营纠纷调解仲裁案件适用法律若干问题的解释']"
《最高人民法院关于审理涉及农村集体土地行政案件若干问题的规定》的发布时间是什么？,政策文件信息,政策文件信息,['最高人民法院，关于审理涉及农村集体土地行政案件若干问题的规定，发布时间']
《艺术品经营管理办法》的发布时间是什么？,政策文件信息,政策文件信息,"['艺术品经营管理办法', '发布时间']"
《商业银行股权管理暂行办法》的发布时间是什么？,政策文件信息,政策文件信息,['无']
《企业国有资产监督管理暂行条例》的发布时间是什么？,日常问题,政策文件信息,['无']
《区域性股权市场监督管理试行办法》的发布时间是什么？,政策文件信息,政策文件信息,['《区域性股权市场监督管理试行办法》，发布时间']
《企业国有资产交易监督管理办法》的发布时间是什么？,政策文件信息,政策文件信息,"['《企业国有资产交易监督管理办法》', '发布时间']"
《上海市财政局关于印发《上海市创新产品政府首购和订购实施办法》的通知(2017)》的发布时间是什么？,政策文件信息,政策文件信息,['上海市财政局，《上海市创新产品政府首购和订购实施办法》，通知（2017）']
《上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知》的发布时间是什么？,政策文件信息,政策文件信息,['上海市财政局，《上海市电子政府采购管理暂行办法》，通知，《上海市财政局关于印发》，《上海市电子政府采购管理暂行办法》']
《上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017)》的发布时间是什么？,政策文件信息,政策文件信息,"['上海市财政局', ' 上海市政府采购供应商登记及诚信管理办法', ' 2017', ' 通知']"
《企业国有资产评估管理暂行办法》的发布时间是什么？,政策文件信息,政策文件信息,['《企业国有资产评估管理暂行办法》，发布时间']
《上海市财政局关于2020年度第一批创新产品政府首购有关事项的通知》的发布时间是什么？,政策文件信息,政策文件信息,['上海市财政局，《上海市财政局关于2020年度第一批创新产品政府首购有关事项的通知》']
《上海市财政局关于2019年度创新产品政府首购有关事项的通知》的发布时间是什么？,政策文件信息,政策文件信息,['上海市财政局，《上海市财政局关于2019年度创新产品政府首购有关事项的通知》']
《上海市财政局关于印发《上海市政府采购集中采购机构监督考核管理办法》的通知》的发布时间是什么？,政策文件信息,政策文件信息,['上海市财政局，《上海市政府采购集中采购机构监督考核管理办法》，通知']
《上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)》的发布时间是什么？,政策文件信息,政策文件信息,['上海市财政局，《上海市政府采购评审专家和评审工作管理办法》，2018，通知，发布，《上海市政府采购评审专家工作纪律》']
《上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)》的发布时间是什么？,政策文件信息,政策文件信息,['《上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)》']
《上海市公共资源交易平台管理暂行办法》的发布时间是什么？,政策文件信息,政策文件信息,['上海市公共资源交易平台管理暂行办法']
《上海市城乡建设和交通委员会关于印发《关于加强本市大型居住社区工程建设服务和管理工作的若干意见》的通知》的发布时间是什么？,政策文件信息,政策文件信息,"['上海市城乡建设', '交通委员会', '通知', '时间']"
《上海市城乡建设和管理委员会关于印发《上海市建筑施工企业施工现场项目管理机构关键岗位人员配备指南》的通知》的发布时间是什么？,政策文件信息,政策文件信息,"['上海市城乡建设和管理委员会', ' 关于印发', ' 上海市建筑施工企业施工现场项目管理机构关键岗位人员配备指南', ' 通知', ' 发布时间']"
上海市浦东新区南汇新城镇社区卫生服务中心保安服务的中标金额是多少？,商品数据，招标中标信息,招标中标信息,"['上海市浦东新区', ' 南汇新城镇社区卫生服务中心', ' 社区卫生服务中心', ' 保安服务', ' 中标金额', ' 上海市浦东新区南汇新城镇社区卫生服务中心保安服务']"
"""电子招标投标办法""的发布时间是什么？",政策文件信息,政策文件信息,['电子招标投标办法']
“工程建设项目货物招标投标办法”的信息来源是什么？,政策文件信息,政策文件信息,"['工程建设项目', ' 货物招标投标办法']"
2020年11月发布了多少个政策文件？,政策文件信息,政策文件信息,['2020年，11月，政策文件']
“财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知”是什么时候发布的？,政策文件信息,政策文件信息,['财政部，《政府采购竞争性磋商采购方式管理暂行办法》，通知']
“金融企业国有资产转让管理办法”的信息来源是什么？,政策文件信息,政策文件信息,"['金融企业', '国有资产', '转让管理办法', '信息来源']"
2020年12月有哪些文件是由国家发布的？,政策文件信息,政策文件信息,"['国家', ' 文件']"
“民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知”的发布时间是什么时候？,政策文件信息,政策文件信息,['民航局机场司，《民航专业工程建设项目招标投标管理办法》，通知发布时间']
“房屋建筑和市政基础设施工程施工招标投标管理办法”的信息来源是哪里？,政策文件信息,政策文件信息,"['房屋建筑', '市政基础设施', '工程施工', '招标投标管理办法', '信息来源', '哪里']"
2020年国家发布了多少个关于政府采购的办法？,政策文件信息,政策文件信息,"['2020年', '国家', '发布的', '办法']"
“上海市规划和国土资源管理局关于印发《关于落实＜关于深化城市有机更新促进历史风貌保护工作的若干意见＞的规划土地管理实施细则》的通知”是由哪个信息来源发布的？,政策文件信息,政策文件信息,['上海市规划和国土资源管理局、《关于落实＜关于深化城市有机更新促进历史风貌保护工作的若干意见＞的规划土地管理实施细则》通知、印发、规划、国土资源管理局']
2020年12月22日发布了多少个政策文件？,政策文件信息,政策文件信息,"['2020年', '12月', '22日', '发布', '政策', '文件']"
“评标委员会和评标方法暂行规定”的发布时间是什么？,政策内容,政策文件信息,"['《评标委员会和评标方法暂行规定》', ' 发布时间']"
“评标专家和评标专家库管理暂行办法”的信息来源是什么？,政策文件信息,政策文件信息,['政策文件信息']
2020年11月18日有哪些文件被发布？,政策文件信息,政策文件信息,"['2020年11月18日', ' 文件', ' 发布']"
“最高人民法院关于审理涉及农村土地承包经营纠纷调解仲裁案件适用法律若干问题的解释”的发布时间是什么时候？,政策文件信息,政策文件信息,['最高人民法院，关于审理涉及农村土地承包经营纠纷调解仲裁案件适用法律若干问题的解释']
“艺术品经营管理办法”的信息来源是哪里？,政策文件信息,政策文件信息,"['艺术品经营管理办法', ' 信息来源', ' 是哪里']"
2020年12月10日发布了多少个文件？,日常问题,政策文件信息,"['2020年12月10日', ' 发布了', ' 多少个', ' 文件']"
“商业银行股权管理暂行办法”的发布时间是什么？,政策文件信息,政策文件信息,['商业银行股权管理暂行办法']
“企业国有资产监督管理暂行条例”的信息来源是什么？,政策文件信息,政策文件信息,['暂行条例']
2020年11月有哪些文件是由上海市发布的？,政策文件信息,政策文件信息,"['上海市', ' 2020年11月', ' 11月']"
“工程建设项目施工招标投标办法”是何时发布的？,政策文件信息,政策文件信息,['工程建设项目施工招标投标办法']
“财政部关于印发《政务信息系统政府采购管理暂行办法》的通知”的信息来源是哪里？,政策文件信息,政策文件信息,"['财政部', ' 政府部门', ' 通知', ' 文件', ' 政策文件信息']"
2020年11月18日国家发布了哪些政策文件？,政策文件信息,政策文件信息,"['2020年11月18日', ' 国家', ' 政策文件']"
“拍卖管理办法”的发布时间是什么？,政策文件信息,政策文件信息,['[“拍卖管理办法”]']
“机动车拍卖规程”的信息来源是什么？,日常问题,政策文件信息,['机动车拍卖规程  ']
2020年12月22日国家发布了多少个政策文件？,政策文件信息,政策文件信息,['2020年12月22日，国家，政策文件']
“建筑工程设计招标投标管理办法”的发布时间是什么时候？,政策文件信息,政策文件信息,['建筑工程设计招标投标管理办法']
“财政部关于印发《政府采购进口产品管理办法》的通知”的信息来源是哪里？,政策文件信息,政策文件信息,"['财政部', ' 政府采购进口产品管理办法', ' 通知']"
2020年3月11日发布了哪些文件？,政策文件信息,政策文件信息,['2020年3月11日']
“财政部关于政府采购竞争性磋商采购方式管理暂行办法有关问题的补充通知”的发布时间是什么？,政策文件信息,政策文件信息,"['财政部', ' 政府采购竞争性磋商采购方式管理暂行办法', ' 关于政府采购竞争性磋商采购方式管理暂行办法有关问题', ' 补充通知']"
“港口工程建设管理规定”的信息来源是什么？,政策内容,政策文件信息,"['港口建设', '工程管理', '规定', '信息来源']"
2020年12月10日上海市发布了哪些政策文件？,政策文件信息,政策文件信息,"['2020年12月10日', ' 上海市', ' 政策文件']"
“财政部关于做好政府采购信息公开工作的通知”的发布时间是什么时候？,政策文件信息,政策文件信息,['财政部，政府采购信息公开工作，通知']
“拍卖监督管理办法”的信息来源是哪里？,政策文件信息,政策文件信息,['拍卖监督管理办法']
2020年12月22日上海市发布了多少个政策文件？,政策文件信息,政策文件信息,"['2020年', '12月', '22日', '上海市', '政策文件']"
“评标专家和评标专家库管理暂行办法”的发布时间是什么？,政策文件信息,政策文件信息,"['评标专家', ' 评标专家库管理暂行办法', ' 发布时间']"
“行政单位国有资产管理暂行办法”的信息来源是什么？,政策文件信息,政策文件信息,['政策文件信息']
2020年12月10日国家发布了多少个政策文件？,政策文件信息,政策文件信息,"['2020年12月10日', ' 国家', ' 政策文件']"
“最高人民法院关于审理涉及农村集体土地行政案件若干问题的规定”的发布时间是什么时候？,政策文件信息,政策文件信息,"['最高人民法院', ' 关于审理涉及农村集体土地行政案件若干问题的规定']"
“艺术品经营管理办法”的信息来源是哪里？,政策文件信息,政策文件信息,['艺术品经营管理办法']
2020年11月18日有哪些文件是由上海市发布的？,政策文件信息,政策文件信息,"['上海市', '2020年11月18日', '文件', '发布']"
“商业银行股权管理暂行办法”的发布时间是什么？,政策文件信息,政策文件信息,['商业银行股权管理暂行办法']
“企业国有资产监督管理暂行条例”的信息来源是什么？,政策文件信息,政策文件信息,['暂行条例']
2020年12月22日有哪些文件是由国家发布的？,政策文件信息,政策文件信息,"['国家', ' 2020年12月22日']"
“区域性股权市场监督管理试行办法”的发布时间是什么时候？,政策文件信息,政策文件信息,['区域性股权市场监督管理试行办法']
“企业国有资产交易监督管理办法”的信息来源是哪里？,政策文件信息,政策文件信息,['企业国有资产交易监督管理办法']
2020年11月17日国家发布了哪些政策文件？,政策文件信息,政策文件信息,"['2020年11月17日', ' 国家', ' 政策文件']"
“上海市创新产品政府首购和订购实施办法”的发布时间是什么？,政策内容,政策文件信息,"['上海市', ' 创新产品', ' 政府', ' 首购', ' 订购', ' 实施办法']"
“上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知”的信息来源是哪里？,政策文件信息,政策文件信息,['上海市财政局，《上海市电子政府采购管理暂行办法》，通知']
2020年12月22日有哪些文件是由上海市发布的？,政策文件信息,政策文件信息,"['2020年12月22日', ' 上海市']"
上海硕业物业管理有限公司的地址在哪里？,日常问题,招标中标信息,"['上海硕业物业管理有限公司', ' 上海', ' 硕业物业管理有限公司', ' 上海市']"
上海市浦东新区南汇新城镇社区卫生服务中心的联系电话是什么？,日常问题,招标中标信息,"['上海市', '浦东新区', '南汇新城镇', '社区卫生服务中心']"
西院肝病楼开办费-标识的中标金额是多少？,商品数据,招标中标信息,"['西院肝病楼', ' 开办费', ' 标识', ' 中标金额']"
上海白衣标识有限公司的地址是什么？,日常问题,招标中标信息,"['上海白衣标识有限公司', ' 地址']"
上海中医药大学附属曙光医院的联系电话是什么？,日常问题,招标中标信息,['上海中医药大学附属曙光医院']
病媒防制工作委托管理的中标金额是多少？,招标中标信息,招标中标信息,"['病媒防制工作', ' 委托管理', ' 中标金额']"
上海闽泰环境卫生服务有限公司的地址在哪里？,日常问题,招标中标信息,"['上海闽泰环境卫生服务有限公司', ' 上海市', ' 上海市黄浦区', ' 地址']"
徐汇区大华医院保洁配送管理外包服务政府采购项目的标的名称中，中标供应商名称有哪些？,招标中标信息,招标中标信息,"['徐汇区大华医院', '保洁配送管理外包服务政府采购项目', '中标供应商名称', '中标']"
上海电机学院的中标供应商名称中，标的名称有哪些？,招标中标信息,招标中标信息,"['上海电机学院', ' 中标供应商名称', ' 标的名称']"
上海市嘉定区中心医院的采购人名称中，中标供应商名称有哪些？,招标中标信息,招标中标信息,"['上海市嘉定区中心医院', ' 中标供应商名称']"
上海市东方医院的标的名称中，采购人名称有哪些？,商品数据,招标中标信息,"['上海市东方医院', ' 东方医院']"
上海市卫生健康委员会监督所食堂管理项目的中标供应商名称中，标的名称有哪些？,招标中标信息,招标中标信息,"['上海市卫生健康委员会监督所食堂管理项目', ' 中标供应商名称', ' 标的名称']"
上海市浦东新区金杨社区卫生服务中心物业管理服务的采购人名称中，标的名称有哪些？,商品数据,招标中标信息,"['上海市浦东新区金杨社区卫生服务中心', ' 物业管理服务', ' 采购人名称', ' 标的名称']"
上海霖置实业有限公司的采购人名称中，中标供应商名称有哪些？,招标中标信息,招标中标信息,"['上海霖置实业有限公司', ' 中标供应商名称']"
上海市青浦区朱家角人民医院的采购人名称中，标的名称有哪些？,商品数据,招标中标信息,"['上海市青浦区朱家角人民医院', ' 青浦区朱家角人民医院', ' 上海市青浦区朱家角人民医院', ' 朱家角人民医院', ' 朱家角人民医院', ' 医院', ' 青浦区朱家角人民医院', ' 青浦区', ' 上海市', ' 上海', ' 医院', ' 朱家角', ' 区', ' 人民医院']"
上海济博贸易商行的中标供应商名称中，采购人名称有哪些？,招标中标信息,招标中标信息,"['上海济博贸易商行', ' 中标供应商名称', ' 采购人名称']"
新华人寿保险股份有限公司上海分公司的采购人名称中，标的名称有哪些？,商品数据,招标中标信息,"['新华人寿保险股份有限公司上海分公司', ' 采购人名称', ' 标的名称']"
上海市市级残疾人自助互助康复服务的采购人名称中，标的名称有哪些？,招标中标信息,招标中标信息,"['上海市市级残疾人自助互助康复服务', ' 标的名称']"
"市级医院肿瘤综合诊治COC（一期）大系统建设项目, 上海市级医院临床专科能力促进子系统建设项目的中标供应商名称中，采购人名称有哪些？",招标中标信息,招标中标信息,"['市级医院', ' 肿瘤综合诊治COC（一期），上海市级医院临床专科能力促进子系统建设', ' 上海政府采购中心', ' 上海市卫生健康委员会', ' 上海市浦东新区卫生健康委员会', ' 医院', ' 肿瘤科', ' 部门', ' 采购人名称', ' 中标供应商名称']"
上海爱姆森医疗科技发展有限公司的中标供应商名称中，标的名称有哪些？,招标中标信息,招标中标信息,"['上海爱姆森医疗科技发展有限公司', ' 中标供应商名称', ' 标的名称']"
上海建科检验有限公司的采购人名称中，标的名称有哪些？,商品数据,招标中标信息,"['上海建科检验有限公司', ' 采购人名称', ' 标的名称']"
上海市青浦区赵巷镇社区卫生服务中心的采购人名称中，中标供应商名称有哪些？,招标中标信息,招标中标信息,"['上海市青浦区赵巷镇社区卫生服务中心', ' 中标供应商名称']"
上海申卓国际贸易有限公司的采购人名称中，中标供应商名称有哪些？,招标中标信息,招标中标信息,"['上海申卓国际贸易有限公司', ' 中标供应商名称']"
超声诊断仪的中标供应商名称中，采购人名称有哪些？,招标中标信息,招标中标信息,"['中标供应商名称', '采购人名称']"
复盛建设工程（上海）有限公司的标的名称中，采购人名称有哪些？,商品数据,招标中标信息,"['复盛建设工程（上海）有限公司', '标的名称', '采购人名称']"
65周岁以上老年人健康体检的采购人名称中，中标供应商名称有哪些？,招标中标信息,招标中标信息,"['老年人健康体检', ' 中标供应商名称', ' 购买者', ' 采购人名称', ' 名称']"
"重症医学病房-CT, 重症医学病房-超声诊断仪的标的名称中，采购人名称有哪些？",商品数据,招标中标信息,"['重症医学病房-CT', ' 重症医学病房-超声诊断仪的标的名称', ' 采购人名称']"
合伙人能否将其在合伙企业中的财产份额进行出质？需要哪些程序？,日常问题,政策内容,"['合伙人', ' 财产份额', ' 合伙企业', ' 程序']"
交易所在哪些情况下会被市发展改革部门处以罚款？,政策内容,政策内容,"['交易所', ' 发展改革部门', ' 罚款', ' 市场']"
农民在农业生产中使用了国家明令淘汰的农药，会受到什么处罚？,政策内容,政策内容,"['农民', ' 农业生产', ' 国家', ' 明令淘汰', ' 农药', ' 处罚']"
如何确保政府采购信息的公开透明？,日常问题,政策内容,"['政府采购信息', ' 公开透明']"
