问题,提取的实体,问题分类,意图分类
放射治疗计划系统的供应商省份有哪些？,['放射治疗计划系统，供应商省份'],商品数据,商品数据
全自动发药机的供应商地址在哪里？,['全自动发药机，供应商地址'],商品数据,商品数据
医疗设备维修维保外包的供应商城市有哪些？,['医疗设备维修维保供应商城市'],商品数据,商品数据
电子内窥镜主机系统（含一根电子治疗结肠镜）的供应商省份是哪里？,['电子内窥镜主机系统，供应商省份'],商品数据,商品数据
低强度脉冲式超声波治疗仪的供应商城市有哪些？,['低强度脉冲式超声波治疗仪，供应商城市'],商品数据,商品数据
学生智能体质体检健康测试设备的供应商地址是什么？,['学生智能体质体检健康测试设备，供应商地址'],商品数据,商品数据
医院X射线计算机体层摄影设备的供应商省份有哪些？,['医院X射线计算机体层摄影设备，供应商省份'],商品数据,商品数据
医院远程探视和远程会诊系统的供应商地址在哪里？,['医院远程探视和远程会诊系统，供应商地址'],商品数据,商品数据
无轨迹等张肌力测试康复训练系统的供应商品牌有哪些？,['无轨迹等张肌力测试康复训练系统，供应商品牌'],商品数据,商品数据
无轨迹等张肌力测试康复训练系统的价格范围是多少？,['无轨迹等张肌力测试康复训练系统，价格范围'],商品数据,商品数据
无轨迹等张肌力测试康复训练系统的供应商地址在哪里？,['无轨迹等张肌力测试康复训练系统，供应商地址'],商品数据,商品数据
医院X射线计算机体层摄影设备的品牌有哪些？,['医院X射线计算机体层摄影设备，品牌'],商品数据,商品数据
医院X射线计算机体层摄影设备的型号有哪些？,['医院X射线计算机体层摄影设备，型号'],商品数据,商品数据
气相色谱分析仪的品牌有哪些？,['气相色谱分析仪，品牌'],商品数据,商品数据
医院X射线计算机体层摄影设备的供应商省份有哪些？,['医院X射线计算机体层摄影设备，供应商省份'],商品数据,商品数据
太平洋安信农业保险股份有限公司上海分公司中标了哪些保险项目？,['太平洋安信农业保险股份有限公司上海分公司，保险项目'],政策文件信息,招标中标信息
上海市青浦区朱家角人民医院是否承担了残疾人健康体检项目？,['上海市青浦区朱家角人民医院，残疾人健康体检项目'],政策文件信息,商品数据
《电子招标投标办法》的发布时间是什么？,['电子招标投标办法，发布时间'],政策文件信息,政策内容
《工程建设项目货物招标投标办法》的发布时间是什么？,['工程建设项目货物招标投标办法，发布时间'],政策文件信息,政策内容
《工程建设项目施工招标投标办法》的发布时间是什么？,['工程建设项目施工招标投标办法，发布时间'],政策文件信息,政策内容
《财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知》的发布时间是什么？,['财政部，《政府采购竞争性磋商采购方式管理暂行办法》，发布时间'],政策文件信息,政策内容
《金融企业国有资产转让管理办法》的发布时间是什么？,['金融企业国有资产转让管理办法，发布时间'],政策文件信息,政策内容
《财政部关于印发《政务信息系统政府采购管理暂行办法》的通知》的发布时间是什么？,['财政部，《政务信息系统政府采购管理暂行办法》，发布时间'],政策文件信息,政策内容
《民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知》的发布时间是什么？,['民航局机场司，通知，发布时间'],政策文件信息,政策文件信息
《财政部关于印发《中央行政事业单位国有资产配置管理办法》的通知》的发布时间是什么？,['财政部，《中央行政事业单位国有资产配置管理办法》，发布时间'],政策文件信息,政策内容
《房屋建筑和市政基础设施工程施工招标投标管理办法》的发布时间是什么？,['房屋建筑和市政基础设施工程施工招标投标管理办法，发布时间'],政策文件信息,政策内容
《财政部关于政府采购竞争性磋商采购方式管理暂行办法有关问题的补充通知》的发布时间是什么？,['财政部关采购竞争性磋商采购方式管理暂行办法时间'],政策文件信息,政策内容
《财政部关于在政府采购活动中查询及使用信用记录有关问题的通知》的发布时间是什么？,['财政部，通知，发布时间'],政策文件信息,政策内容
《港口工程建设管理规定》的发布时间是什么？,['港口工程建设管理规定，发布时间'],政策文件信息,政策内容
《财政部关于做好政府采购信息公开工作的通知》的来源是什么？,['财政部，通知'],政策文件信息,政策文件信息
《拍卖管理办法》的发布时间是什么？,['拍卖管理办法，发布时间'],政策文件信息,政策内容
《机动车拍卖规程》的发布时间是什么？,['机动车拍卖规程，发布时间'],政策文件信息,政策内容
《建筑工程设计招标投标管理办法》的发布时间是什么？,['建筑工程设计招标投标管理办法，发布时间'],政策文件信息,政策内容
《财政部关于印发《政府采购进口产品管理办法》的通知》的发布时间是什么？,['财政部，《政府采购进口产品管理办法》，发布时间'],政策文件信息,政策内容
《工程建设项目招标投标活动投诉处理办法》的发布时间是什么？,['《工程建设项目招标投标活动投诉处理办法》，发布时间'],政策文件信息,政策内容
《财政部关于印发《金融企业非上市国有产权交易规则》的通知》的发布时间是什么？,['财政部，《金融企业非上市国有产权交易规则》，发布时间'],政策文件信息,政策内容
《地方国有资产监管工作指导监督办法》的发布时间是什么？,['地方国有资产监管工作指导监督办法，发布时间'],政策文件信息,政策内容
《建筑工程施工发包与承包计价管理办法》的发布时间是什么？,['建筑工程施工发包与承包计价管理办法，发布时间'],政策文件信息,政策内容
《工业和信息化部、国家统计局、国家发展和改革委员会、财政部关于印发中小企业划型标准规定的通知》的发布时间是什么？,['《工业和信息化部，国家统计局，国家发展和改革委员会，财政部，中小企业划型标准规定》，通知，发布时间'],政策文件信息,政策内容
《拍卖监督管理办法》的发布时间是什么？,['《拍卖监督管理办法》，发布时间'],政策文件信息,政策内容
《财政部关于印发《政府采购评审专家管理办法》的通知》的发布时间是什么？,['财政部，《政府采购评审专家管理办法》，发布时间'],政策文件信息,政策内容
《上海市规划和国土资源管理局关于印发《关于落实＜关于深化城市有机更新促进历史风貌保护工作的若干意见＞的规划土地管理实施细则》的通知》的发布时间是什么？,['上海市规划和国土资源管理局，通知，发布时间'],政策文件信息,政策内容
《上海市土地交易市场监督管理办法》的发布时间是什么？,['上海市土地交易市场监督管理办法，发布时间'],政策文件信息,政策内容
《上海市规划和自然资源局关于国有建设用地使用权招标拍卖挂牌出让投标竞买保证金专户管理有关问题的通知》的发布时间是什么？,['上海市规划和自然资源局，通知，发布时间'],政策文件信息,政策内容
《评标委员会和评标方法暂行规定》的发布时间是什么？,['评标委员会和评标方法暂行规定，发布时间'],政策文件信息,政策内容
《评标专家和评标专家库管理暂行办法》的发布时间是什么？,['评标专家和评标专家库管理暂行办法，发布时间'],政策文件信息,政策内容
《拍卖术语》的发布时间是什么？,['拍卖术语，发布时间'],政策文件信息,政策内容
《行政单位国有资产管理暂行办法》的发布时间是什么？,['行政单位国有资产管理暂行办法，发布时间'],政策文件信息,政策内容
《最高人民法院关于审理涉及农村土地承包经营纠纷调解仲裁案件适用法律若干问题的解释》的发布时间是什么？,['《最高人民法院关于审理涉及农村土地承包经营纠纷调解仲裁案件适用法律若干问题的解释》，发布时间'],政策文件信息,政策内容
《最高人民法院关于审理涉及农村集体土地行政案件若干问题的规定》的发布时间是什么？,['最高人民法院关于审理涉及农村集体土地行政案件若干问题规定，发布时间'],政策文件信息,政策内容
《艺术品经营管理办法》的发布时间是什么？,['艺术品经营管理办法，发布时间'],政策文件信息,政策内容
《商业银行股权管理暂行办法》的发布时间是什么？,['商业银行股权管理暂行办法，发布时间'],政策文件信息,政策内容
《企业国有资产监督管理暂行条例》的发布时间是什么？,['企业国有资产监督管理暂行条例，发布时间'],政策文件信息,政策内容
《区域性股权市场监督管理试行办法》的发布时间是什么？,['区域性股权市场监督管理试行办法，发布时间'],政策文件信息,政策内容
《企业国有资产交易监督管理办法》的发布时间是什么？,['企业国有资产交易监督管理办法，发布时间'],政策文件信息,政策内容
《上海市财政局关于印发《上海市创新产品政府首购和订购实施办法》的通知(2017)》的发布时间是什么？,['上海市财政局，《上海市创新产品政府首购和订购实施办法》，发布时间'],政策文件信息,政策内容
《上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知》的发布时间是什么？,['上海市财政局，通知，发布时间'],政策文件信息,政策内容
《上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017)》的发布时间是什么？,['上海市财政局，通知，发布时间'],政策文件信息,政策文件信息
《企业国有资产评估管理暂行办法》的发布时间是什么？,['企业国有资产评估管理暂行办法，发布时间'],政策文件信息,政策内容
《上海市财政局关于2020年度第一批创新产品政府首购有关事项的通知》的发布时间是什么？,['上海市财政局，通知，发布时间'],政策文件信息,政策内容
《上海市财政局关于2019年度创新产品政府首购有关事项的通知》的发布时间是什么？,['上海市财政局，通知，发布时间'],政策文件信息,政策内容
《上海市财政局关于印发《上海市政府采购集中采购机构监督考核管理办法》的通知》的发布时间是什么？,['上海市财政局，通知，发布时间'],政策文件信息,政策文件信息
《上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)》的发布时间是什么？,['上海市财政局，通知，发布时间'],政策文件信息,政策内容
《上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)》的发布时间是什么？,['上海市财政局，通知，发布时间'],政策文件信息,政策内容
《上海市公共资源交易平台管理暂行办法》的发布时间是什么？,['上海市公共资源交易平台管理暂行办法，发布时间'],政策文件信息,政策内容
《上海市城乡建设和交通委员会关于印发《关于加强本市大型居住社区工程建设服务和管理工作的若干意见》的通知》的发布时间是什么？,['上海市城乡建设和交通委员会，通知，发布时间'],政策文件信息,政策内容
《上海市城乡建设和管理委员会关于印发《上海市建筑施工企业施工现场项目管理机构关键岗位人员配备指南》的通知》的发布时间是什么？,['上海市城乡建设和管理委员会，《上海市建筑施工企业施工现场项目管理机构关键岗位人员配备指南》，发布时间'],政策文件信息,政策内容
上海市浦东新区南汇新城镇社区卫生服务中心保安服务的中标金额是多少？,['上海市浦东新区南汇新城镇社区卫生服务中心，保安服务，中标金额'],招标中标信息,招标中标信息
"""电子招标投标办法""的发布时间是什么？",['电子招标投标办法，发布时间'],政策文件信息,政策内容
“工程建设项目货物招标投标办法”的信息来源是什么？,['工程建设项目货物招标投标办法，信息来源'],政策文件信息,政策内容
2020年11月发布了多少个政策文件？,['政策文件'],政策文件信息,政策文件信息
“财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知”是什么时候发布的？,['财政部，通知，发布时间'],政策文件信息,政策内容
“金融企业国有资产转让管理办法”的信息来源是什么？,['金融企业国有资产转让管理办法，信息来源'],政策文件信息,政策内容
2020年12月有哪些文件是由国家发布的？,['2020年12月，文件，国家'],政策文件信息,政策文件信息
“民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知”的发布时间是什么时候？,['民航局机场司，通知，发布时间'],政策文件信息,政策内容
“房屋建筑和市政基础设施工程施工招标投标管理办法”的信息来源是哪里？,['房屋建筑和市政基础设施工程施工招标投标管理办法，信息来源'],政策文件信息,政策内容
2020年国家发布了多少个关于政府采购的办法？,['2020年，国家，关于政府采购，办法'],政策文件信息,政策内容
“上海市规划和国土资源管理局关于印发《关于落实＜关于深化城市有机更新促进历史风貌保护工作的若干意见＞的规划土地管理实施细则》的通知”是由哪个信息来源发布的？,['上海市规划和国土资源管理局，通知，信息来源'],政策文件信息,政策内容
2020年12月22日发布了多少个政策文件？,['2020年12月22日，政策文件，数量'],政策文件信息,政策文件信息
“评标委员会和评标方法暂行规定”的发布时间是什么？,['评标委员会和评标方法暂行规定，发布时间'],政策文件信息,政策内容
“评标专家和评标专家库管理暂行办法”的信息来源是什么？,['评标专家和评标专家库管理暂行办法，信息来源'],政策文件信息,政策内容
2020年11月18日有哪些文件被发布？,['2020年11月18日，文件'],政策文件信息,政策文件信息
“最高人民法院关于审理涉及农村土地承包经营纠纷调解仲裁案件适用法律若干问题的解释”的发布时间是什么时候？,['最高人民法院关于审理涉及农村土地承包经营纠纷调解仲裁案件适用法律若干问题的解释，发布时间'],政策文件信息,政策内容
“艺术品经营管理办法”的信息来源是哪里？,['艺术品经营管理办法，信息来源'],政策文件信息,政策内容
2020年12月10日发布了多少个文件？,['2020年12月10日，文件'],政策文件信息,政策文件信息
“商业银行股权管理暂行办法”的发布时间是什么？,['商业银行股权管理暂行办法，发布时间'],政策文件信息,政策内容
“企业国有资产监督管理暂行条例”的信息来源是什么？,['企业国有资产监督管理暂行条例，信息来源'],政策文件信息,政策内容
2020年11月有哪些文件是由上海市发布的？,['2020年11月，文件，上海市'],政策文件信息,政策文件信息
“工程建设项目施工招标投标办法”是何时发布的？,['工程建设项目施工招标投标办法，发布时间'],政策文件信息,政策内容
“财政部关于印发《政务信息系统政府采购管理暂行办法》的通知”的信息来源是哪里？,['财政部，《政务信息系统政府采购管理暂行办法》，通知，信息来源'],政策文件信息,政策内容
2020年11月18日国家发布了哪些政策文件？,['2020年11月18日，国家，政策文件'],政策文件信息,政策文件信息
“拍卖管理办法”的发布时间是什么？,['拍卖管理办法，发布时间'],政策文件信息,政策内容
“机动车拍卖规程”的信息来源是什么？,['机动车拍卖规程，信息来源'],政策文件信息,政策内容
2020年12月22日国家发布了多少个政策文件？,['2020年12月22日，政策文件'],政策文件信息,政策文件信息
“建筑工程设计招标投标管理办法”的发布时间是什么时候？,['建筑工程设计招标投标管理办法，发布时间'],政策文件信息,政策内容
“财政部关于印发《政府采购进口产品管理办法》的通知”的信息来源是哪里？,['财政部，《政府采购进口产品管理办法》，通知，信息来源'],政策文件信息,政策内容
2020年3月11日发布了哪些文件？,['2020年3月11日，文件'],政策文件信息,政策文件信息
“财政部关于政府采购竞争性磋商采购方式管理暂行办法有关问题的补充通知”的发布时间是什么？,['财政部关于政府采购竞争性磋商采购方式管理暂行办法有关问题补充通知发布时间'],政策文件信息,政策内容
“港口工程建设管理规定”的信息来源是什么？,['港口工程建设管理规定，信息来源'],政策文件信息,政策内容
2020年12月10日上海市发布了哪些政策文件？,['上海市，政策文件'],政策文件信息,政策文件信息
“财政部关于做好政府采购信息公开工作的通知”的发布时间是什么时候？,['财政部，通知，发布时间'],政策文件信息,政策内容
“拍卖监督管理办法”的信息来源是哪里？,['拍卖监督管理办法，信息来源'],政策文件信息,政策内容
2020年12月22日上海市发布了多少个政策文件？,['上海市，政策文件'],政策文件信息,政策文件信息
“评标专家和评标专家库管理暂行办法”的发布时间是什么？,['评标专家和评标专家库管理暂行办法，发布时间'],政策文件信息,政策内容
“行政单位国有资产管理暂行办法”的信息来源是什么？,['行政单位国有资产管理暂行办法，信息来源'],政策文件信息,政策内容
2020年12月10日国家发布了多少个政策文件？,['2020年12月10日，政策文件'],政策文件信息,政策文件信息
“最高人民法院关于审理涉及农村集体土地行政案件若干问题的规定”的发布时间是什么时候？,['最高人民法院关于审理涉及农村集体土地行政案件若干问题的规定，发布时间'],政策文件信息,政策内容
“艺术品经营管理办法”的信息来源是哪里？,['艺术品经营管理办法，信息来源'],政策文件信息,政策内容
2020年11月18日有哪些文件是由上海市发布的？,['2020年11月18日，上海市，文件发布'],政策文件信息,政策文件信息
“商业银行股权管理暂行办法”的发布时间是什么？,['商业银行股权管理暂行办法，发布时间'],政策文件信息,政策内容
“企业国有资产监督管理暂行条例”的信息来源是什么？,['企业国有资产监督管理暂行条例，信息来源'],政策文件信息,政策内容
2020年12月22日有哪些文件是由国家发布的？,['2020年12月22日，文件，国家，发布'],政策文件信息,政策文件信息
“区域性股权市场监督管理试行办法”的发布时间是什么时候？,['区域性股权市场监督管理试行办法，发布时间'],政策文件信息,政策内容
“企业国有资产交易监督管理办法”的信息来源是哪里？,['企业国有资产交易监督管理办法，信息来源'],政策文件信息,政策内容
2020年11月17日国家发布了哪些政策文件？,['2020年11月17日，政策文件'],政策文件信息,政策文件信息
“上海市创新产品政府首购和订购实施办法”的发布时间是什么？,['上海市创新产品政府首购和订购实施办法，发布时间'],政策文件信息,政策内容
“上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知”的信息来源是哪里？,['上海市财政局，通知，信息来源'],政策文件信息,政策内容
2020年12月22日有哪些文件是由上海市发布的？,['2020年12月22日，上海市，文件'],政策文件信息,政策文件信息
上海硕业物业管理有限公司的地址在哪里？,['上海硕业物业管理有限公司，地址'],招标中标信息,商品数据
上海市浦东新区南汇新城镇社区卫生服务中心的联系电话是什么？,['上海市浦东新区南汇新城镇社区卫生服务中心，联系电话'],招标中标信息,商品数据
西院肝病楼开办费-标识的中标金额是多少？,['西院肝病楼，开办费，中标金额'],招标中标信息,商品数据
上海白衣标识有限公司的地址是什么？,['上海，白衣标识有限公司，地址'],招标中标信息,商品数据
上海中医药大学附属曙光医院的联系电话是什么？,['上海中医药大学附属曙光医院，联系电话'],招标中标信息,商品数据
病媒防制工作委托管理的中标金额是多少？,['病媒防制工作，中标金额'],招标中标信息,政策内容
上海闽泰环境卫生服务有限公司的地址在哪里？,['上海闽泰环境卫生服务有限公司，地址'],招标中标信息,商品数据
徐汇区大华医院保洁配送管理外包服务政府采购项目的标的名称中，中标供应商名称有哪些？,['徐汇区大华医院保洁配送管理外包服务政府采购项目，中标供应商名称'],招标中标信息,商品数据
上海电机学院的中标供应商名称中，标的名称有哪些？,['上海电机学院，中标供应商名称，标的名称'],招标中标信息,招标中标信息
上海市嘉定区中心医院的采购人名称中，中标供应商名称有哪些？,['上海市嘉定区中心医院，中标供应商名称'],招标中标信息,招标中标信息
上海市东方医院的标的名称中，采购人名称有哪些？,['上海市东方医院，采购人名称'],招标中标信息,商品数据
上海市卫生健康委员会监督所食堂管理项目的中标供应商名称中，标的名称有哪些？,['上海市卫生健康委员会监督所，食堂管理项目，中标供应商名称，标的名称'],招标中标信息,招标中标信息
上海市浦东新区金杨社区卫生服务中心物业管理服务的采购人名称中，标的名称有哪些？,['上海市浦东新区金杨社区卫生服务中心，物业管理服务，采购人名称，标的名称'],招标中标信息,商品数据
上海霖置实业有限公司的采购人名称中，中标供应商名称有哪些？,['上海霖置实业有限公司，采购人名称，中标供应商名称'],招标中标信息,商品数据
上海市青浦区朱家角人民医院的采购人名称中，标的名称有哪些？,['上海市青浦区朱家角人民医院，采购人名称，标的名称'],招标中标信息,商品数据
上海济博贸易商行的中标供应商名称中，采购人名称有哪些？,['上海济博贸易商行，中标供应商名称，采购人名称'],招标中标信息,招标中标信息
新华人寿保险股份有限公司上海分公司的采购人名称中，标的名称有哪些？,['新华人寿保险股份有限公司上海分公司，采购人名称，标的名称'],招标中标信息,商品数据
上海市市级残疾人自助互助康复服务的采购人名称中，标的名称有哪些？,['上海市市级残疾人自助互助康复服务，采购人名称，标的名称'],招标中标信息,商品数据
"市级医院肿瘤综合诊治COC（一期）大系统建设项目, 上海市级医院临床专科能力促进子系统建设项目的中标供应商名称中，采购人名称有哪些？","['市级医院肿瘤综合诊治COC（一期）大系统建设项目', '上海市级医院临床专科能力促进子系统建设项目的中标供应商名称', '采购人名称']",招标中标信息,政策内容
上海爱姆森医疗科技发展有限公司的中标供应商名称中，标的名称有哪些？,['上海爱姆森医疗科技发展有限公司，中标供应商名称，标的名称'],招标中标信息,商品数据
上海建科检验有限公司的采购人名称中，标的名称有哪些？,['上海建科检验有限公司，采购人名称，标的名称'],招标中标信息,商品数据
上海市青浦区赵巷镇社区卫生服务中心的采购人名称中，中标供应商名称有哪些？,['上海市青浦区赵巷镇社区卫生服务中心，中标供应商名称'],招标中标信息,招标中标信息
上海申卓国际贸易有限公司的采购人名称中，中标供应商名称有哪些？,['上海申卓国际贸易有限公司，采购人名称，中标供应商名称'],招标中标信息,招标中标信息
超声诊断仪的中标供应商名称中，采购人名称有哪些？,['超声诊断仪，中标供应商名称，采购人名称'],招标中标信息,招标中标信息
复盛建设工程（上海）有限公司的标的名称中，采购人名称有哪些？,['复盛建设工程（上海）有限公司，标的名称，采购人名称'],招标中标信息,商品数据
65周岁以上老年人健康体检的采购人名称中，中标供应商名称有哪些？,['老年人健康体检，采购人名称，中标供应商名称'],招标中标信息,招标中标信息
"重症医学病房-CT, 重症医学病房-超声诊断仪的标的名称中，采购人名称有哪些？","['重症医学病房-CT', '重症医学病房-超声诊断仪', '采购人名称']",招标中标信息,政策内容
合伙人能否将其在合伙企业中的财产份额进行出质？需要哪些程序？,['合伙人，财产份额，出质，程序'],政策内容,商品数据
交易所在哪些情况下会被市发展改革部门处以罚款？,['交易所，市发展改革部门，罚款'],政策内容,政策内容
农民在农业生产中使用了国家明令淘汰的农药，会受到什么处罚？,['农业生产，国家明令淘汰的农药，处罚'],政策内容,政策内容
如何确保政府采购信息的公开透明？,['政府采购信息，公开透明'],政策内容,政策内容
有意受让土地使用权者需要从出让人处获取哪些资料？,['土地使用权者，资料'],政策内容,商品数据
在拍卖活动中，如果某方当事人违反了公开、公平、公正、诚实信用的原则，会有什么后果？,['拍卖活动，后果'],政策内容,日常问题
在本市社会投资的房屋建筑工程中，建设单位是否还需要提供银行资金到位证明和预付款证明？,['本市社会投资，房屋建筑工程，建设单位，银行资金到位证明，预付款证明'],政策内容,商品数据
采购人在与供应商交往过程中有哪些禁止行为？,['采购人，禁止行为'],政策内容,政策内容
采购人能否与政务信息系统运行维护供应商签订超过三年的政府采购合同？,['采购人，政务信息系统运行维护供应商，政府采购合同'],政策内容,商品数据
对于上海市公共资源交易目录外的新增交易活动，应如何处理交易平台问题？,['上海市公共资源交易目录，新增交易活动，问题，交易平台'],政策内容,商品数据
在国有企业改革中，如何确保党组织的法定地位和发挥其政治核心作用？,['国有企业改革，党组织法定地位，发挥政治核心作用'],政策内容,政策内容
委托拍卖合同签订时，委托人如何交付拍卖标的？,['委托拍卖合同，签订，委托人，交付，拍卖标的'],政策内容,商品数据
招投标监管部门在信用标管理方面有哪些具体职责？,['招投标监管部门，信用标管理，具体职责'],政策内容,政策内容
如果在招投标过程中遇到合同纠纷，是否可以直接引用《中华人民共和国民法典》进行维权？,['合同纠纷，直接引用，民法典，维权'],政策内容,商品数据
交易主体在进行招投标活动前，必须通过哪些方式进行身份认证？,['交易主体，身份认证'],政策内容,商品数据
采购人在进行政府采购时，是否可以按照个人意愿选择供应商？,['采购人，政府采购，供应商'],政策内容,商品数据
对于不属于工程建设项目但属于固定资产投资的货物招标投标活动，应如何执行相关规定？,['工程建设项目，货物招标投标活动，相关规定'],政策内容,政策内容
招标人在设定投标人资格要求时，哪些行为会被视为以不合理条件限制或排斥潜在投标人？,['招标人，投标人资格要求，行为，视为，不合理条件，限制，排斥，潜在投标人'],政策内容,商品数据
招标人或其委托的招标代理机构在发布资格预审公告、招标公告或投标邀请书时，需要包含哪些信息？,['招标人，委托，招标代理机构，包含信息'],政策内容,政策内容
联交所能否为非公开协议租赁的双方提供登记和资金结算服务？,['联交所，非公开协议租赁，双方，服务'],政策内容,商品数据
在承包期内，发包方是否有权调整承包地？,['承包期，发包方，有权调整，承包地'],政策内容,商品数据
如何判断采购文件是否存在限制性和倾向性？,['采购文件，判断'],政策内容,商品数据
财政部门如何实现对事业单位国有资产的动态管理？,['财政部门，事业单位国有资产，动态管理'],政策内容,政策内容
哪些企业属于国家出资企业的范畴？,['企业，国家出资企业，范畴'],政策内容,商品数据
第三方机构在碳排放核查过程中，如果出具了虚假的核查报告，会受到怎样的处罚？,['第三方机构，碳排放核查，处罚'],政策内容,政策内容
集体经济组织在参与镇村规划编制和村民住宅用地管理时，需要履行哪些职责？,['集体经济组织，参与镇村规划编制，村民住宅用地管理，履行职责'],政策内容,政策内容
保险公司变更注册资本时，需要提交哪些关键材料？,['保险公司，注册资本，关键材料'],政策内容,商品数据
历史文化名城的环境遭到严重破坏，会有什么后果？,['历史文化名城，环境，后果'],政策内容,政策内容
第三方机构在碳排放核查中违规，会受到哪些处罚？,['第三方机构，碳排放核查，处罚'],政策内容,政策内容
如果国有金融企业未完成公司制改革，其子公司的增资行为需要报备吗？,['国有金融企业，子公司，增资，报备'],政策内容,政策内容
如果企业在过渡期内不符合相关政策要求，应该如何处理？,['企业，过渡期，相关政策要求，处理'],政策内容,政策内容
闲置土地的动工开发时间如何重新起算？,['闲置土地，动工开发时间重新起算'],政策内容,政策内容
投标保证金的到账截止时间应如何设定？,['投标保证金，到账截止时间设定'],政策内容,商品数据
如果企业在“195区域”内擅自分割转让土地使用权，会有什么后果？,['企业，195区域，后果'],政策内容,政策内容
投标人能否使用银行保函代替现金提交投标保证金？,['投标人，银行保函，投标保证金'],政策内容,商品数据
如何确定政府采购的资金节约率？,['资金节约率'],政策内容,政策内容
农村土地承包经营权证的发放管理由哪个部门负责？,['农村土地承包经营权证，发放管理，部门'],政策内容,政策内容
事业单位的国有资产评估项目需要经过哪些审批程序？,['事业单位，国有资产评估项目，审批程序'],政策内容,政策内容
在招投标过程中，如果发现营商环境方面的问题，可以通过哪些途径进行投诉举报？,['招投标，营商环境，途径，投诉举报'],政策内容,商品数据
产权转让项目首次正式信息披露的转让底价有何要求？,['产权转让项目首次正式信息披露，转让底价要求'],政策内容,商品数据
综合类会员和自营类会员在结算部门的职责上有何区别？,['综合类会员，自营类会员，结算部门'],政策内容,商品数据
国有资产监管机构在履行出资人职责时，应如何界定监管边界？,['国有资产监管机构，履行出资人职责，监管边界'],政策内容,政策内容
如果对本规范的内容有疑问，应该向哪个部门咨询？,['本规范，部门'],政策内容,政策内容
在招投标过程中，如何快速办理简易公证事项和查询公证信息？,['招投标，简易公证事项，查询公证信息'],政策内容,商品数据
