Question,True_Title,Recalling,Recall_Weight
《产权交易合同》中不同支付方式的交易价款如何结算？,【产权交易】上海联合产权交易所有限公司企业国有产权转让结算交易资金操作细则(沪联产交〔2020〕23号）,1,2
产权交易资金是否可以由联交所之外的第三方代为收付？,【产权交易】上海联合产权交易所有限公司企业国有产权转让结算交易资金操作细则(沪联产交〔2020〕23号）,1,1
在进行产权交易时，如果交易双方希望使用外汇结算，需要遵循哪些规定和流程？,【产权交易】上海联合产权交易所有限公司企业国有产权转让结算交易资金操作细则(沪联产交〔2020〕23号）,1,1
在增资项目中，如果合格意向投资人只认购部分标的，应该采用哪种报价法？,【产权交易】上海联合产权交易所有限公司企业增资业务择优确定投资人操作流程(沪联产交〔2020〕25号),1,1
如果合格意向投资人未在《择优方案》规定的截止时间前提交竞投文件，会有什么后果？,【产权交易】上海联合产权交易所有限公司企业增资业务择优确定投资人操作流程(沪联产交〔2020〕25号),1,1
竞投文件提交截止时间前，能否对文件进行补充或修改？,【产权交易】上海联合产权交易所有限公司企业增资业务择优确定投资人操作流程(沪联产交〔2020〕25号),1,1
在非公开协议增资中，谁负责确保增资行为的真实性、合法性和有效性？,【产权交易】上海联合产权交易所有限公司企业非公开协议增资操作流程（沪联产交〔2019〕77号）,1,1
哪些企业可以通过上海联合产权交易所进行非公开协议增资？,【产权交易】上海联合产权交易所有限公司企业非公开协议增资操作流程（沪联产交〔2019〕77号）,1,1
增资人和投资人在非公开协议增资中需要对其提交的材料承担哪些责任？,【产权交易】上海联合产权交易所有限公司企业非公开协议增资操作流程（沪联产交〔2019〕77号）,1,1
债权转让信息披露的期限是多久，如何计算？,【产权交易】上海联合产权交易所有限公司债权交易规则(沪联产交〔2020〕38号),1,1
转让方在通过联交所披露转让信息时，需要递交哪些相关附件材料？,【产权交易】上海联合产权交易所有限公司债权交易规则(沪联产交〔2020〕38号),0,
在项目信息披露期间，如果需要变更或撤销公告信息，项目方应如何操作？,【产权交易】上海联合产权交易所有限公司文体旅项目交易规则（试行）(沪联产交〔2020〕28号),1,1
在文体旅项目交易中，项目方和合作方的定义分别是什么？,【产权交易】上海联合产权交易所有限公司文体旅项目交易规则（试行）(沪联产交〔2020〕28号),1,1
基本分值和增加分值在权重指标中各占多少比例？,【产权交易】上海联合产权交易所有限公司权重报价操作细则（试行）（沪联产交〔2019〕65号）,1,1
竞买人提交的竞买文件中的数据和证明材料需要满足哪些要求？,【产权交易】上海联合产权交易所有限公司权重报价操作细则（试行）（沪联产交〔2019〕65号）,1,3
权重指标一般包括哪些内容？,【产权交易】上海联合产权交易所有限公司权重报价操作细则（试行）（沪联产交〔2019〕65号）,1,1
在招租公告发布期间，出租方需要提供哪些配合和支持？,【产权交易】上海联合产权交易所有限公司租赁业务操作指引(沪联产交〔2020〕51号),1,1
招租公告的发布期限是如何计算的？一般需要发布多久？,【产权交易】上海联合产权交易所有限公司租赁业务操作指引(沪联产交〔2020〕51号),1,1
在非国有股权转让项目中，如果股东行权出现争议，应如何处理？,【产权交易】上海联合产权交易所有限公司股东行使优先购买权操作指引（沪联产交〔2019〕55号）,1,1
在股权转让项目中，如果已有其他股东在场内行权，转让方是否还需要征询未进场的其他股东意见？,【产权交易】上海联合产权交易所有限公司股东行使优先购买权操作指引（沪联产交〔2019〕55号）,1,1
如果其他股东表示放弃行权或逾期未行权，会如何处理？,【产权交易】上海联合产权交易所有限公司股东行使优先购买权操作指引（沪联产交〔2019〕55号）,1,1
联交所在收到协议转让项目的登记材料后，多久会通知当事人并出具交易凭证？,【产权交易】上海联合产权交易所有限公司非公开协议转让项目登记操作细则（试行）（沪联产交〔2019〕63号）,1,1
股权置换调整类协议项目（G2）的批准依据是什么？,【产权交易】上海联合产权交易所有限公司非公开协议转让项目登记操作细则（试行）（沪联产交〔2019〕63号）,1,1
如果选择了进场结算，联交所提供的结算服务具体包括哪些内容？,【产权交易】上海联合产权交易所有限公司非公开协议转让项目登记操作细则（试行）（沪联产交〔2019〕63号）,0,
项目意向信息披露的期限是如何规定的？,【产权交易】上海联合产权交易所有限公司项目意向信息披露操作细则（试行）（沪联产交〔2019〕70号）,1,1
意向投资方在信息披露期间可以查阅哪些资料？如果有额外信息需求怎么办？,【产权交易】上海联合产权交易所有限公司项目意向信息披露操作细则（试行）（沪联产交〔2019〕70号）,1,4
在项目意向信息披露期间，意向信息披露方和意向投资方可以进行场外交易吗？,【产权交易】上海联合产权交易所有限公司项目意向信息披露操作细则（试行）（沪联产交〔2019〕70号）,1,1
在招投标过程中，增资人的基本信息需要包含哪些内容？,【产权交易】企业增资业务受托机构工作指引（试行）,1,9
在招投标过程中，如何核实和评价投标公司管理层的诚信情况？,【产权交易】企业增资业务受托机构工作指引（试行）,0,
尽职调查工作底稿具体包括哪些内容？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
增资企业在增资活动期间发生重大变化时，需要采取哪些措施？,【产权交易】企业增资业务规则（试行）,1,1
增资人在确定最终投资人时，可以选择哪些方式？,【产权交易】企业增资业务规则（试行）,1,2
竞争性谈判项目中，最终投资人如何确定？,【产权交易】企业增资业务规则（试行）,1,3
在什么情况下，增资人可以推荐评审专家，而不是通过专家库随机抽选？,【产权交易】企业增资评审专家管理操作流程（试行）,1,1
评审专家的续聘年龄上限是多少岁？,【产权交易】企业增资评审专家管理操作流程（试行）,1,2
评审专家的个人信息发生变化时需要做哪些更新？,【产权交易】企业增资评审专家管理操作流程（试行）,1,1
会员机构与委托方在委托代理服务合同中产生争议时，应如何解决？,【产权交易】关于受托公开选择推荐会员机构的操作办法（沪联产交〔2017〕10号）,1,1
委托方对会员机构的服务能力评价结果会如何应用？,【产权交易】关于受托公开选择推荐会员机构的操作办法（沪联产交〔2017〕10号）,1,1
在项目合作中，如何确定参与方的收费和分配比例？,【产权交易】关于受托公开选择推荐会员机构的操作办法（沪联产交〔2017〕10号）,1,3
借入方在收到《借碳交易同意书》后，需要在多长时间内缴纳初始保证金？初始保证金的计算方式是怎样的？,【创新产品业务规则】上海环境能源交易所借碳交易业务细则（试行）,1,1
会员在发现客户出现异常交易行为时，应如何处理？,【碳排放权】《上海环境能源交易所碳排放交易规则》,1,2
交易所在监控配额交易时发现异常交易行为，可以采取哪些措施？,【碳排放权】《上海环境能源交易所碳排放交易规则》,1,2
客户委托综合类会员进行交易时，需要签订什么协议？该协议的主要内容需要符合哪些规定？,【碳排放权】《上海环境能源交易所碳排放交易规则》,1,4
哪些单位需要纳入碳排放配额管理？,【碳排放权】上海市碳排放管理试行办法,1,2
纳入配额管理的单位应在什么时间范围内完成上一年度碳排放配额的清缴工作？,【碳排放权】上海市碳排放管理试行办法,1,1
借碳交易中，借入方需要在何时缴纳初始保证金，以及初始保证金的计算方式是什么？,【碳排放权】上海环境能源交易所借碳交易业务细则（试行）,1,2
借入方在进行借碳配额划转前需要完成什么步骤？,【碳排放权】上海环境能源交易所借碳交易业务细则（试行）,1,2
借碳交易中，保证金比例的具体要求是什么？,【碳排放权】上海环境能源交易所借碳交易业务细则（试行）,1,1
哪些机构和个人有权查询质押物的数量和状态？,【碳排放权】上海环境能源交易所协助办理CCER质押业务规则,1,1
在CCER质押业务中，出质人需要承担哪些责任？,【碳排放权】上海环境能源交易所协助办理CCER质押业务规则,1,3
交易所在中国核证自愿减排量（CCER）质押业务中扮演什么角色？,【碳排放权】上海环境能源交易所协助办理CCER质押业务规则,1,2
上海环境能源交易所是否鼓励金融机构参与碳排放交易？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,3
交易所是否可以授权机构或个人使用和传播交易信息？,【碳排放权】上海环境能源交易所碳排放交易信息管理办法,1,2
碳排放交易信息的发布、使用和传播行为需要遵守哪些规定？,【碳排放权】上海环境能源交易所碳排放交易信息管理办法,1,2
交易所何时发布年报表，年报表包含哪些信息？,【碳排放权】上海环境能源交易所碳排放交易信息管理办法,1,1
碳排放交易市场的管理依据有哪些主要政策法规？,【碳排放权】上海环境能源交易所碳排放交易机构投资者适当性制度实施办法（试行）,0,
交易所收到机构投资者的申报材料后，会如何进行审核？,【碳排放权】上海环境能源交易所碳排放交易机构投资者适当性制度实施办法（试行）,1,2
结算银行在碳排放交易中有哪些主要职责？,【碳排放权】上海环境能源交易所碳排放交易结算细则,1,2
综合类会员应当缴纳的最低结算担保金是多少？交易所是否有权调整这一数额？,【碳排放权】上海环境能源交易所碳排放交易结算细则,1,2
如果会员违反了配额最大持有量限制制度，交易所会采取哪些措施？,【碳排放权】上海环境能源交易所碳排放交易违规违约处理办法（试行）,0,
交易纠纷调解成功后，协议如何生效？,【碳排放权】上海环境能源交易所碳排放交易违规违约处理办法（试行）,1,1
会员的违规行为同时违反了协议条款，交易所会如何处理？,【碳排放权】上海环境能源交易所碳排放交易违规违约处理办法（试行）,1,2
如果客户因特殊情况无法参加交易所的谈话提醒，应该如何处理？,【碳排放权】上海环境能源交易所碳排放交易风险控制管理办法（试行）,1,1
交易所的风险准备金来源有哪些？,【碳排放权】上海环境能源交易所碳排放交易风险控制管理办法（试行）,1,1
动用风险准备金需要经过哪些审批程序？,【碳排放权】上海环境能源交易所碳排放交易风险控制管理办法（试行）,1,1
如果中介机构或从业人员在一个评估周期内有多次不良行为，扣分如何计算？,【综合采购】上海市公共资源交易中心中介机构和中介机构从业人员信用记分评估标准（试行）,1,1
如果中介机构信用记分在70到80分之间，评估结果和标注颜色是怎样的？,【综合采购】上海市公共资源交易中心中介机构和中介机构从业人员信用记分评估标准（试行）,1,1
中介机构评估结果为优秀后，能获得哪些具体待遇？,【综合采购】上海市公共资源交易中心中介机构和中介机构从业人员信用记分评估标准（试行）,1,1
交易公告发布后，如果需要澄清或修改内容，该如何操作？,【综合采购】上海市公共资源交易中心交易活动实施办法（试行）,1,2
如果项目评标工作未能在预约时间内完成，该如何处理？,【综合采购】上海市公共资源交易中心交易活动实施办法（试行）,0,
在市交易中心进行交易活动时，如果发现有人违反规定，应该如何处理？,【综合采购】上海市公共资源交易中心交易活动实施办法（试行）,0,
评标结束后，未中标供应商能否申请查阅或复制评标评审的音视频记录？,【综合采购】上海市公共资源交易中心交易见证服务细则（试行）,0,
在上海市公共资源交易中心进行的招投标项目中，见证人员的具体职责是什么？,【综合采购】上海市公共资源交易中心交易见证服务细则（试行）,1,1
哪些项目属于上海市公共资源交易中心的场内项目？,【综合采购】上海市公共资源交易中心交易见证服务细则（试行）,0,
哪些情况下发起方的评估结果会被标注为较差？,【综合采购】上海市公共资源交易中心发起方信用记分评估标准（试行）,1,1
同一发起方在评估周期内有多次不良行为，如何处理扣分？,【综合采购】上海市公共资源交易中心发起方信用记分评估标准（试行）,1,1
市交易中心对哪些交易行为进行信用记分评估？,【综合采购】上海市公共资源交易中心发起方信用记分评估标准（试行）,1,5
市交易中心对信用记分评估结果为不佳的响应方会进行怎样的标注？,【综合采购】上海市公共资源交易中心响应方信用记分评估标准（试行）,1,1
响应方在信用记分评估中，单次扣分的分值有哪些等级？,【综合采购】上海市公共资源交易中心响应方信用记分评估标准（试行）,1,1
响应方信用记分在70分到80分之间会被如何处理？,【综合采购】上海市公共资源交易中心响应方信用记分评估标准（试行）,1,1
如果对场内交易过程中的信用信息记录有异议，应该如何申请？,【综合采购】上海市公共资源交易中心场内交易信用记分实施细则（试行）,1,1
作为一家经营主体，如何查询其他公司的场内交易信用信息？,【综合采购】上海市公共资源交易中心场内交易信用记分实施细则（试行）,1,1
市交易中心对经营主体的信用评价结果分为哪几个等级？,【综合采购】上海市公共资源交易中心场内交易信用记分实施细则（试行）,1,1
专家因故无法参加评标评审，采购人或代理机构应如何应对？,【综合采购】上海市公共资源交易中心综合采购专家库管理实施规则(试行),1,4
评标专家的日常考核包括哪些方面？,【综合采购】上海市公共资源交易中心综合采购专家库管理实施规则(试行),1,4
专家信用记分低于60分会有什么后果？,【综合采购】上海市公共资源交易中心评标（评审）专家信用记分评估标准（试行）,1,1
评标专家的信用记分达到多少分会被评为优秀？,【综合采购】上海市公共资源交易中心评标（评审）专家信用记分评估标准（试行）,1,1
上海市公共资源交易中心如何对评标专家进行信用评估？,【综合采购】上海市公共资源交易中心评标（评审）专家信用记分评估标准（试行）,1,1
如果未提前预约隔夜评标场地但需要延长评标时间，市交易中心会如何处理？,【综合采购】上海市公共资源交易中心隔夜评标操作指引,1,2
进入隔夜评标区域前，进场人员需要完成哪些手续？,【综合采购】上海市公共资源交易中心隔夜评标操作指引,1,1
市交易中心在隔夜评标过程中需要安排值班人员吗？,【综合采购】上海市公共资源交易中心隔夜评标操作指引,1,1
如果对投标电子保函的相关规定有疑问，应该向哪个机构咨询解释？,【综合采购】上海市公共资源交易投标电子保函服务管理办法,1,1
交易中心及交易平台开发运维单位的工作人员在履行职责过程中泄露信息，会面临什么法律责任？,【综合采购】上海市公共资源交易投标电子保函服务管理办法,0,
哪些单位或组织可以申请参与上海碳配额远期交易？,【远期交易规则】上海碳配额远期业务规则,1,1
如果申报数量超过了上海清算所的头寸限额参考值，会有什么后果？,【远期交易规则】上海碳配额远期业务规则,1,1
上海环交所和上海清算所在上海碳配额远期业务中分别承担哪些职责？,【远期交易规则】上海碳配额远期业务规则,1,1
在政府采购中，如何确保预算编制和执行的规范性？,上海市人民政府办公厅关于本市进一步加强政府采购管理工作的实施意见,1,3
政府采购预算和采购形式变更需要经过哪些审核程序？,上海市人民政府办公厅关于本市进一步加强政府采购管理工作的实施意见,0,
如何确保政府采购预算编制和执行的规范性？,上海市人民政府办公厅关于本市进一步加强政府采购管理工作的实施意见,1,6
如何将农村集体资产公开招租与农村民主决策、科学管理相结合？,上海市人民政府办公厅关于贯彻《国务院办公厅关于引导农村产权流转交易市场健康发展的意见》的实施意见,1,1
产权流转交易平台可以交易哪些品种？,上海市人民政府办公厅关于贯彻《国务院办公厅关于引导农村产权流转交易市场健康发展的意见》的实施意见,1,6
农村土地流转信息是否需要在上海农业网上公开发布？,上海市人民政府办公厅关于贯彻《国务院办公厅关于引导农村产权流转交易市场健康发展的意见》的实施意见,1,7
建设单位在申报地下建设工程规划土地综合验收时，需要提交哪些关于建筑面积的资料？,上海市人民政府办公厅关于转发市规划资源局制订的《上海市地下建设用地使用权出让规定》的通知,1,1
建设单位在申办地下建设工程规划许可证时，需要提供哪些关于建筑面积的信息？,上海市人民政府办公厅关于转发市规划资源局制订的《上海市地下建设用地使用权出让规定》的通知,1,1
哪些情况下签订补充出让合同时可以免收土地价款？,上海市人民政府办公厅关于转发市规划资源局制订的《上海市地下建设用地使用权出让规定》的通知,1,8
区县政府在进行宅基地调查时需要重点关注哪些内容？,上海市人民政府办公厅转发市规划国土资源局《关于加强本市宅基地管理的若干意见(试行)》的通知,1,1
农村村民住房集中布局和集体建设的具体目的是什么？,上海市人民政府办公厅转发市规划国土资源局《关于加强本市宅基地管理的若干意见(试行)》的通知,1,1
《关于加强本市宅基地管理的若干意见（试行）》适用于哪些区域的村民集体建房规划和土地管理？,上海市人民政府办公厅转发市规划国土资源局《关于加强本市宅基地管理的若干意见(试行)》的通知,1,1
如果企业在“195区域”内擅自分割转让土地使用权，会有什么后果？,上海市人民政府办公厅转发市规划国土资源局制订的《关于加强本市工业用地出让管理的若干规定》的通知,1,1
研发总部通用类的建设用地使用权人需要持有多少比例的物业产权？剩余部分是否可以分割转让？,上海市人民政府办公厅转发市规划国土资源局制订的《关于加强本市工业用地出让管理的若干规定》的通知,1,1
对于未出让和已出让的工业用地及研发总部类用地，在调整容积率和建筑高度时，应分别遵循哪种审批程序？,上海市人民政府办公厅转发市规划国土资源局制订的《关于加强本市工业用地出让管理的若干规定》的通知,1,2
在编制控制性详细规划时，需要对哪些内容进行评估？,上海市人民政府办公厅转发市规划国土资源局制订的《关于本市盘活存量工业用地的实施办法》的通知,1,1
在整体转型区域中，应如何处理公共绿地和开放空间？,上海市人民政府办公厅转发市规划国土资源局制订的《关于本市盘活存量工业用地的实施办法》的通知,1,1
在整体转型区域规划中，对于公共绿地和开放空间有哪些具体要求？,上海市人民政府办公厅转发市规划国土资源局制订的《关于本市盘活存量工业用地的实施办法》的通知,1,1
在“城中村”地块改造过程中，如何防止违法违规行为和损害群众权益？,上海市人民政府批转市建设管理委等十一部门《关于本市开展“城中村”地块改造的实施意见》的通知,1,1
“城中村”地块改造方案在试点阶段需要经过哪些部门的指导和确认？,上海市人民政府批转市建设管理委等十一部门《关于本市开展“城中村”地块改造的实施意见》的通知,1,1
“城中村”改造工作的市级组织架构是怎样的？,上海市人民政府批转市建设管理委等十一部门《关于本市开展“城中村”地块改造的实施意见》的通知,1,1
国有企业以担保方式支持创办的企业所积累的净资产是否属于国有资产？,上海市企业国有资产产权界定暂行办法,1,1
哪些企业的国有资产产权界定适用于《上海市国有资产产权界定实施办法》？,上海市企业国有资产产权界定暂行办法,1,1
以国有企业名义担保，全部用借入资金投资创办的企业所形成的净资产是否属于国有资产？,上海市企业国有资产产权界定暂行办法,1,1
市政府网站上公布的证明事项清单需要包含哪些内容？,上海市优化营商环境条例,1,2
行政审批过程中需要委托中介服务机构时，应如何选择中介服务机构？,上海市优化营商环境条例,1,1
本市如何协调推进企业破产处置工作？,上海市优化营商环境条例,1,1
企业完成信用修复后，其信用评价结果会改变吗？,上海市住房和城乡建设管理委员会关于印发《上海市在沪建筑业企业信用评价管理办法》的通知,1,2
行业协会在颁发建设工程行业奖项时需要遵循哪些要求？,上海市住房和城乡建设管理委员会关于印发《上海市在沪建筑业企业信用评价管理办法》的通知,1,1
自行完成或再发包工程设计的项目，工程设计图纸需要增加哪些内容？,上海市住房和城乡建设管理委员会关于印发《上海市工程总承包试点项目管理办法实施要点》的通知,1,1
工程总承包企业在签订勘察、设计或施工再发包合同后，需要办理哪些手续？,上海市住房和城乡建设管理委员会关于印发《上海市工程总承包试点项目管理办法实施要点》的通知,1,1
如果工程总承包企业不具备施工资质和安全生产许可证，项目负责人和安全员需要做什么？,上海市住房和城乡建设管理委员会关于印发《上海市工程总承包试点项目管理办法实施要点》的通知,1,1
建设单位和工程总承包企业在招标文件和合同中需要约定哪些风险分担内容？,上海市住房和城乡建设管理委员会关于发布《上海市工程总承包试点项目管理办法》的通知,1,1
工程总承包企业需要配备哪些主要项目管理人员？,上海市住房和城乡建设管理委员会关于发布《上海市工程总承包试点项目管理办法》的通知,1,2
招标人申请不进行招标需要提交哪些材料？,上海市住房和城乡建设管理委员会关于发布《上海市建设工程招标投标管理办法实施细则》的通知,1,7
涉及暂估价专业工程的进场招标项目，在什么情况下必须进行招标？,上海市住房和城乡建设管理委员会关于发布《上海市建设工程招标投标管理办法实施细则》的通知,1,1
招投标监管部门在信用标管理方面有哪些具体职责？,上海市住房和城乡建设管理委员会关于在建设工程招标投标中使用在沪建筑业企业信用评价结果的通知,1,2
在采用有担保的最低价中标法或经评审的合理低价法的施工公开招标项目中，信用合格分应设置为多少分？,上海市住房和城乡建设管理委员会关于在建设工程招标投标中使用在沪建筑业企业信用评价结果的通知,1,1
在上海市建设工程施工公开招标项目中，招标文件是否必须包含信用标和条款？,上海市住房和城乡建设管理委员会关于在建设工程招标投标中使用在沪建筑业企业信用评价结果的通知,1,1
中标人的项目负责人在合同履行过程中可以随意变更吗？,上海市住房和城乡建设管理委员会关于进一步加强本市建设工程招标投标监管治理打击违法行为的通知,0,
开标时，投标人代表的身份要求是什么？,上海市住房和城乡建设管理委员会关于进一步加强本市建设工程招标投标监管治理打击违法行为的通知,0,
在施工招标中，参加开标的投标人代表有哪些具体要求？,上海市住房和城乡建设管理委员会关于进一步加强本市建设工程招标投标监管治理打击违法行为的通知,0,
在本市社会投资的房屋建筑工程中，建设单位是否还需要提供银行资金到位证明和预付款证明？,上海市住房和城乡建设管理委员会关于进一步改善和优化本市施工许可办理环节营商环境的通知,1,1
本市是否鼓励建设单位在建设项目中实行自管模式或由建筑师团队进行施工质量指导和监督？,上海市住房和城乡建设管理委员会关于进一步改善和优化本市施工许可办理环节营商环境的通知,1,1
本通知中提到的“小型项目”和“工业项目”的定义依据是什么？,上海市住房和城乡建设管理委员会关于进一步改善和优化本市施工许可办理环节营商环境的通知,1,1
包含在施工总承包招标范围内的专业工程是否需要进行单独招标？,上海市住房和城乡建设管理委员会关于进一步规范本市房屋建筑工程施工招标标段划分的通知,1,1
单独招标桩基础工程、地下工程、地上主体结构工程时，需要哪些前置条件？,上海市住房和城乡建设管理委员会关于进一步规范本市房屋建筑工程施工招标标段划分的通知,1,1
暂估价形式的专业工程在施工总承包招标中，其暂估价金额占工程造价的比例是否有上限？,上海市住房和城乡建设管理委员会关于进一步规范本市房屋建筑工程施工招标标段划分的通知,1,1
改造项目竣工后，建设单位应在多长时间内提请竣工验收？,上海市住房城乡建设管理委、上海市水务局、上海市二次供水联席办关于印发《上海市居民住宅二次供水设施改造项目建设管理办法》的通知,1,1
项目经理或总监理工程师在二次供水设施改造项目中最多可以同时承接多少个项目？,上海市住房城乡建设管理委、上海市水务局、上海市二次供水联席办关于印发《上海市居民住宅二次供水设施改造项目建设管理办法》的通知,1,1
居民住宅二次供水设施改造项目的竣工验收和竣工确认由哪个部门负责？,上海市住房城乡建设管理委、上海市水务局、上海市二次供水联席办关于印发《上海市居民住宅二次供水设施改造项目建设管理办法》的通知,1,1
