问题,召回文档标题,真实标题,正确召回,召回位置
评标委员会成员在评审过程中出现意见分歧时，如何处理？,"['民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于进一步规范政府采购评审工作有关问题的通知', '公路工程建设项目招标投标管理办法', '公路工程建设项目招标投标管理办法', '中华人民共和国招标投标法实施条例', '评标委员会和评标方法暂行规定', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知']",政府采购货物和服务招标投标管理办法,False,无
评标委员会成员在评标过程中有哪些行为是被明确禁止的？,"['中华人民共和国招标投标法实施条例', '建筑工程设计招标投标管理办法', '公路工程建设项目招标投标管理办法', '民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知', '评标委员会和评标方法暂行规定', '评标委员会和评标方法暂行规定', '评标专家和评标专家库管理暂行办法', '铁路工程建设项目招标投标管理办法', '中华人民共和国招标投标法实施条例', '铁路工程建设项目招标投标管理办法']",政府采购货物和服务招标投标管理办法,False,无
哪些情况下投标会被认定为无效？,"['评标委员会和评标方法暂行规定', '上海市城乡建设和管理委员会关于加强对本市建设工程施工招标投标活动中非正常投标行为监管的通知', '中华人民共和国招标投标法', '民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知', '政府采购货物和服务招标投标管理办法', '工程建设项目招标投标活动投诉处理办法', '工程建设项目施工招标投标办法', '中华人民共和国招标投标法实施条例', '公路工程建设项目招标投标管理办法', '房屋建筑和市政基础设施工程施工招标投标管理办法']",政府采购货物和服务招标投标管理办法,True,4
在综合评分法中，评审因素是否可以包括投标人的资格条件？,"['政府采购货物和服务招标投标管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '评标委员会和评标方法暂行规定', '公路工程建设项目招标投标管理办法', '公路工程建设项目招标投标管理办法', '水利工程建设项目招标投标管理规定', '评标委员会和评标方法暂行规定', '公路工程建设项目招标投标管理办法', '公路工程建设项目招标投标管理办法', '工程建设项目货物招标投标办法']",政府采购货物和服务招标投标管理办法,True,0
在综合评分法中，货物项目和服务项目的价格分值占总分值的最低比重分别是多少？,"['政府采购货物和服务招标投标管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '国务院国有资产监督管理委员会关于印发《企业国有资产评估项目备案工作指引》的通知', '上海市住房和城乡建设管理委员会关于在建设工程招标投标中使用在沪建筑业企业信用评价结果的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '上海市财政局关于印发《上海市政府采购集中采购机构监督考核管理办法》的通知', '中华人民共和国招标投标法实施条例', '铁路工程建设项目招标投标管理办法', '公路工程建设项目招标投标管理办法', '中华人民共和国政府采购法实施条例']",政府采购货物和服务招标投标管理办法,True,0
在综合评分法中，如果两个投标人的得分相同，如何确定他们的排名顺序？,"['政府采购货物和服务招标投标管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '上海市住房和城乡建设管理委员会关于在建设工程招标投标中使用在沪建筑业企业信用评价结果的通知', '公路工程建设项目招标投标管理办法', '评标委员会和评标方法暂行规定', '评标委员会和评标方法暂行规定', '政府采购货物和服务招标投标管理办法', '工程建设项目施工招标投标办法', '水利工程建设项目招标投标管理规定', '房屋建筑和市政基础设施工程施工招标投标管理办法']",政府采购货物和服务招标投标管理办法,True,0
在评标过程中，采购人代表是否可以担任评标组长？,"['政府采购货物和服务招标投标管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '铁路工程建设项目招标投标管理办法', '财政部关于进一步规范政府采购评审工作有关问题的通知', '财政部关于印发《政府采购评审专家管理办法》的通知', '中华人民共和国政府采购法实施条例', '公路工程建设项目招标投标管理办法', '中华人民共和国政府采购法实施条例']",政府采购货物和服务招标投标管理办法,True,0
如果投标文件解密失败，招标人是否有义务提供补救方案？,"['上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '中华人民共和国招标投标法实施条例', '财政部关于进一步规范政府采购评审工作有关问题的通知', '工程建设项目货物招标投标办法', '民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知', '公路工程建设项目招标投标管理办法', '中华人民共和国招标投标法实施条例', '政府采购货物和服务招标投标管理办法', '房屋建筑和市政基础设施工程施工招标投标管理办法', '电子招标投标办法']",电子招标投标办法,True,9
在评标过程中，如果需要投标人对投标文件进行澄清或说明，应该通过什么方式进行？,"['政府采购货物和服务招标投标管理办法', '司法部关于印发《招标投标公证程序细则》的通知', '政府采购货物和服务招标投标管理办法', '电子招标投标办法', '公路工程建设项目招标投标管理办法', '评标委员会和评标方法暂行规定', '工程建设项目货物招标投标办法', '【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）', '中华人民共和国招标投标法实施条例', '招标拍卖挂牌出让国有土地使用权规范（试行）']",电子招标投标办法,True,3
中标候选人和中标结果是否必须在电子招标投标交易平台上公示和公布？,"['招标公告和公示信息发布管理办法', '上海市公共资源交易管理办法', '电子招标投标办法', '工程建设项目施工招标投标办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '招标公告和公示信息发布管理办法', '【综合采购】上海市公共资源交易中心交易活动实施办法（试行）', '招标公告和公示信息发布管理办法', '招标公告和公示信息发布管理办法', '电子招标投标办法']",电子招标投标办法,True,2
招标人确定中标人后，应如何通知中标人和未中标人？,"['工程建设项目货物招标投标办法', '招标公告和公示信息发布管理办法', '工程建设项目货物招标投标办法', '铁路工程建设项目招标投标管理办法', '【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）', '水利工程建设项目招标投标管理规定', '房屋建筑和市政基础设施工程施工招标投标管理办法', '电子招标投标办法', '水运工程建设项目招标投标管理办法', '政府采购货物和服务招标投标管理办法']",电子招标投标办法,True,7
供应商申请入库时，财政部门是否可以收取费用？,"['上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017)', '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', '政府采购质疑和投诉办法', '财政部关于印发《政府采购进口产品管理办法》的通知', '财政部关于促进政府采购公平竞争优化营商环境的通知', '政府采购货物和服务招标投标管理办法', '上海市政府采购实施办法', '政府采购非招标采购方式管理办法', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '政府采购非招标采购方式管理办法']",财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,False,无
在采用书面推荐方式选择供应商时，采购人推荐的供应商比例有何限制？,"['政府采购非招标采购方式管理办法', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017)', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '政府采购非招标采购方式管理办法', '政府采购非招标采购方式管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '政府采购货物和服务招标投标管理办法']",财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,True,2
竞争性磋商公告中必须包含哪些主要内容？,"['财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '【产权交易】上海联合产权交易所有限公司企业增资业务择优确定投资人操作流程(沪联产交〔2020〕25号)', '上海市国资委、市工商局、市产管办关于印发《上海市产权交易市场管理办法实施细则》的通知(2009年修订)', '财政部关于政府采购竞争性磋商采购方式管理暂行办法有关问题的补充通知', '财政部关于做好政府采购信息公开工作的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '政府采购非招标采购方式管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知']",财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,True,0
在编制磋商文件时，是否可以指定特定供应商或品牌？,"['财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于政府采购竞争性磋商采购方式管理暂行办法有关问题的补充通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '政府采购非招标采购方式管理办法', '政府采购非招标采购方式管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '政府采购非招标采购方式管理办法']",财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,True,0
磋商文件的售价应如何确定？,"['财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于政府采购竞争性磋商采购方式管理暂行办法有关问题的补充通知', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '政府采购非招标采购方式管理办法', '政府采购非招标采购方式管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知']",财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,True,0
评标委员会的组成人员有哪些要求？,"['公路工程建设项目招标投标管理办法', '评标委员会和评标方法暂行规定', '评标委员会和评标方法暂行规定', '上海市建设工程招标投标管理办法', '铁路工程建设项目招标投标管理办法', '中华人民共和国招标投标法实施条例', '民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知', '民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知', '政府采购货物和服务招标投标管理办法', '水利工程建设项目招标投标管理规定']",房屋建筑和市政基础设施工程施工招标投标管理办法,False,无
评标委员会的专家成员是如何确定的？,"['房屋建筑和市政基础设施工程施工招标投标管理办法', '评标专家和评标专家库管理暂行办法', '铁路建设工程评标专家库及评标专家管理办法', '财政部关于印发《政府采购评审专家管理办法》的通知', '评标委员会和评标方法暂行规定', '公路工程建设项目招标投标管理办法', '评标委员会和评标方法暂行规定', '评标专家和评标专家库管理暂行办法', '【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）', '水利工程建设项目招标投标管理规定']",房屋建筑和市政基础设施工程施工招标投标管理办法,True,0
评标委员会成员的名单需要保密吗？,"['公路工程建设项目招标投标管理办法', '财政部关于印发《政府采购评审专家管理办法》的通知', '中华人民共和国招标投标法实施条例', '评标委员会和评标方法暂行规定', '【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）', '水利工程建设项目招标投标管理规定', '公路工程建设项目招标投标管理办法', '评标专家和评标专家库管理暂行办法', '民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知', '房屋建筑和市政基础设施工程施工招标投标管理办法']",房屋建筑和市政基础设施工程施工招标投标管理办法,True,9
评标委员会在评审投标文件时需要遵循哪些标准和方法？,"['政府采购货物和服务招标投标管理办法', '公路工程建设项目招标投标管理办法', '评标委员会和评标方法暂行规定', '水利工程建设项目招标投标管理规定', '评标委员会和评标方法暂行规定', '民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知', '建筑工程设计招标投标管理办法', '公路工程建设项目招标投标管理办法', '政府采购货物和服务招标投标管理办法', '评标委员会和评标方法暂行规定']",房屋建筑和市政基础设施工程施工招标投标管理办法,False,无
如果所有投标文件都不符合要求，评标委员会可以怎么做？,"['公路工程建设项目招标投标管理办法', '评标委员会和评标方法暂行规定', '公路工程建设项目招标投标管理办法', '评标委员会和评标方法暂行规定', '【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）', '水运工程建设项目招标投标管理办法', '工程建设项目施工招标投标办法', '评标委员会和评标方法暂行规定', '评标委员会和评标方法暂行规定', '政府采购货物和服务招标投标管理办法']",房屋建筑和市政基础设施工程施工招标投标管理办法,False,无
采购人在选择采购代理机构时，是否需要查询其信用记录？,"['财政部关于在政府采购活动中查询及使用信用记录有关问题的通知', '上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017)', '中华人民共和国政府采购法实施条例', '上海市政府采购实施办法', '中华人民共和国政府采购法实施条例', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '财政部关于在政府采购活动中查询及使用信用记录有关问题的通知', '上海市财政局关于印发《上海市政府采购集中采购机构监督考核管理办法》的通知', '财政部关于做好政府采购信息公开工作的通知', '财政部关于在政府采购活动中查询及使用信用记录有关问题的通知']",财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,True,0
采购人和采购代理机构在保管相关主体信用信息时，有哪些注意事项？,"['上海市政府采购实施办法', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '财政部关于在政府采购活动中查询及使用信用记录有关问题的通知', '中华人民共和国政府采购法实施条例', '财政部关于做好政府采购信息公开工作的通知', '上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017)', '财政部关于加强政府采购活动内部控制管理的指导意见', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '财政部关于印发《政府采购评审专家管理办法》的通知', '财政部关于在政府采购活动中查询及使用信用记录有关问题的通知']",财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,True,2
对于参加政府采购活动的供应商、采购代理机构、评审专家的不良行为，相关部门应该如何处理？,"['上海市政府采购实施办法', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '中华人民共和国政府采购法实施条例', '财政部关于进一步规范政府采购评审工作有关问题的通知', '国务院办公厅关于进一步加强政府采购管理工作的意见', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '中华人民共和国政府采购法实施条例', '上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017)', '政府采购非招标采购方式管理办法', '中华人民共和国政府采购法实施条例']",财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,False,无
电子招标投标交易平台需要记录哪些信息？,"['电子招标投标办法', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '上海市公共资源交易管理办法', '电子招标投标办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '电子招标投标办法', '招标公告和公示信息发布管理办法', '电子招标投标办法', '电子招标投标办法']",电子招标投标办法,True,0
行政监督部门和监察机关在电子招标投标活动中有什么限制？,"['电子招标投标办法', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '电子招标投标办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '国家重大建设项目招标投标监督暂行办法', '中华人民共和国招标投标法实施条例', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '中华人民共和国招标投标法实施条例', '电子招标投标办法', '电子招标投标办法']",电子招标投标办法,True,0
如果认为电子招标投标活动不符合规定，应该怎么投诉？,"['工程建设项目招标投标活动投诉处理办法', '电子招标投标办法', '电子招标投标办法', '电子招标投标办法', '工程建设项目招标投标活动投诉处理办法', '招标公告和公示信息发布管理办法', '电子招标投标办法', '电子招标投标办法', '公路工程建设项目招标投标管理办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知']",电子招标投标办法,True,1
在监督检查或处理投诉时，招标投标活动当事人和平台运营机构需要履行什么义务？,"['电子招标投标办法', '工程建设项目招标投标活动投诉处理办法', '国务院办公厅关于创新完善体制机制推动招标投标市场规范健康发展的意见', '工程建设项目招标投标活动投诉处理办法', '国家重大建设项目招标投标监督暂行办法', '铁路建设工程招标投标监管暂行办法', '中华人民共和国招标投标法实施条例', '中华人民共和国招标投标法实施条例', '国家重大建设项目招标投标监督暂行办法', '水运工程建设项目招标投标管理办法']",电子招标投标办法,True,0
哪些行为会被视为限制或排斥潜在投标人？,"['中华人民共和国招标投标法实施条例', '工程建设项目招标投标活动投诉处理办法', '评标委员会和评标方法暂行规定', '民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知', '铁路工程建设项目招标投标管理办法', '公路工程建设项目招标投标管理办法', '工程建设项目施工招标投标办法', '公路工程建设项目招标投标管理办法', '中华人民共和国招标投标法实施条例', '中华人民共和国招标投标法实施条例']",电子招标投标办法,False,无
在政府采购进口产品合同履行过程中，如果发现合同内容危害国家利益和社会公共利益，采购人应该如何处理？,"['财政部关于印发《政府采购进口产品管理办法》的通知', '财政部关于做好政府采购信息公开工作的通知', '中华人民共和国政府采购法', '上海市财政局关于印发《上海市创新产品政府首购和订购实施办法》的通知(2017)', '财政部关于加强政府采购活动内部控制管理的指导意见', '上海市政府采购实施办法', '财政部关于印发《政府采购进口产品管理办法》的通知', '国务院办公厅关于进一步加强政府采购管理工作的意见', '政府采购非招标采购方式管理办法', '中华人民共和国政府采购法']",财政部关于印发《政府采购进口产品管理办法》的通知,True,0
采购人在验收进口产品时，应该如何确保产品的真实性，防止假冒伪劣产品？,"['财政部关于印发《政府采购进口产品管理办法》的通知', '财政部、工业和信息化部、质检总局、认监委关于信息安全产品实施政府采购的通知', '国务院办公厅关于建立政府强制采购节能产品制度的通知', '政府采购非招标采购方式管理办法', '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '财政部关于印发《政府采购进口产品管理办法》的通知', '上海市政府采购实施办法', '财政部关于印发《政府采购进口产品管理办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知']",财政部关于印发《政府采购进口产品管理办法》的通知,True,0
采购人在申请支付进口产品采购资金时，需要提供哪些文件？,"['财政部关于印发《政府采购进口产品管理办法》的通知', '政府采购非招标采购方式管理办法', '上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017)', '政府采购货物和服务招标投标管理办法', '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '中华人民共和国政府采购法实施条例', '财政部关于印发《政府采购进口产品管理办法》的通知', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '财政部关于印发《政府采购进口产品管理办法》的通知']",财政部关于印发《政府采购进口产品管理办法》的通知,True,0
供应商在政府采购活动中如果提供虚假材料谋取中标，会受到哪些处罚？,"['中华人民共和国政府采购法实施条例', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '上海市政府采购实施办法', '中华人民共和国政府采购法实施条例', '财政部关于印发《政府采购进口产品管理办法》的通知', '上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017)', '中华人民共和国招标投标法实施条例', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '中华人民共和国政府采购法实施条例', '国务院办公厅关于进一步加强政府采购管理工作的意见']",财政部关于印发《政府采购进口产品管理办法》的通知,True,4
电子招标投标活动中的交易平台、公共服务平台和行政监督平台各自的主要功能是什么？,"['国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '电子招标投标办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '国务院办公厅关于印发整合建立统一的公共资源交易平台工作方案的通知', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '电子招标投标办法', '上海市公共资源交易管理办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '关于印发《上海市公共资源交易平台服务标准（试行）》的通知']",电子招标投标办法,True,2
开发、检测、认证和运营电子招标投标系统需要遵循哪些规定？,"['国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '工程建设项目货物招标投标办法', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '电子招标投标办法', '电子招标投标办法', '电子招标投标办法', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '电子招标投标办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知']",电子招标投标办法,True,4
全国和地方电子招标投标活动的指导协调工作分别由哪些部门负责？,"['电子招标投标办法', '国家重大建设项目招标投标监督暂行办法', '国务院办公厅关于创新完善体制机制推动招标投标市场规范健康发展的意见', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '上海市城乡建设和管理委员会关于启用建设工程电子招标投标办事信息系统的通知', '水利工程建设项目招标投标管理规定', '电子招标投标办法', '工程建设项目招标投标活动投诉处理办法', '国家重大建设项目招标投标监督暂行办法', '国务院办公厅关于创新完善体制机制推动招标投标市场规范健康发展的意见']",电子招标投标办法,True,0
